team_id,team_name,player_name,fg_id_x,position,salary,player_type,OTTONEUID,IDFANGRAPHS,fg_id_y,Name,FPTS
4067,Large Farva,Jonathan Aranda,33217,1B,7,hitters,33217,21837,21837,Jonathan Aranda,682.3
4067,Large Farva,Ivan Herrera,26099,C,6,hitters,26099,20599,20599,Iván Herrera,737.2
4067,Large Farva,Matt Wallner,37174,OF,6,hitters,37174,26466,26466,Matt Wallner,621.2
4067,Large Farva,Royce Lewis,23796,3B,6,hitters,23796,20437,20437,Royce Lewis,655.2
4067,Large Farva,Luis Arraez,20545,1B/2B,5,hitters,20545,18568,18568,Luis Arraez,670.2
4067,Large Farva,Ryan O'Hearn,21156,1B/OF,4,hitters,21156,16442,16442,Ryan O'Hearn,615.9
4067,Large Farva,Jordan Walker,38366,OF,3,hitters,38366,27475,27475,Jordan Walker,583.7
4067,Large Farva,Dominic Canzone,37536,OF,3,hitters,37536,26438,26438,Dominic Canzone,451.9
4067,Large Farva,Brandon Marsh,23868,OF,3,hitters,23868,20202,20202,Brandon Marsh,587.0
4067,Large Farva,Gabriel Moreno,26134,C,3,hitters,26134,22664,22664,Gabriel Moreno,535.4
4067,Large Farva,Tyler Freeman,26882,2B/OF,3,hitters,26882,22532,22532,Tyler Freeman,383.7
4067,Large Farva,Edouard Julien,38350,1B/2B,1,hitters,38350,27534,27534,Edouard Julien,470.6
4067,Large Farva,Garrett Mitchell,38325,OF,1,hitters,38325,27555,27555,Garrett Mitchell,457.6
4142,The Milwaukee Beers,Aaron Judge,18312,OF,74,hitters,18312,15640,15640,Aaron Judge,1293.2
4142,The Milwaukee Beers,Bobby Witt Jr.,36668,SS,54,hitters,36668,25764,25764,Bobby Witt Jr.,1090.2
4142,The Milwaukee Beers,Yandy Diaz,18517,1B,19,hitters,18517,16578,16578,Yandy Díaz,792.6
4142,The Milwaukee Beers,William Contreras,22391,C,15,hitters,22391,20503,20503,William Contreras,767.7
4142,The Milwaukee Beers,Daylen Lile,40714,OF,10,hitters,,,,,592.6
4142,The Milwaukee Beers,Kerry Carpenter,37300,OF,10,hitters,37300,25961,25961,Kerry Carpenter,603.3
4142,The Milwaukee Beers,Giancarlo Stanton,5201,OF,7,hitters,5201,4949,4949,Giancarlo Stanton,515.8
4142,The Milwaukee Beers,TJ Friedl,23788,OF,6,hitters,23788,19522,19522,TJ Friedl,635.9
4142,The Milwaukee Beers,Alec Bohm,33609,1B/3B,6,hitters,33609,21618,21618,Alec Bohm,671.6
4142,The Milwaukee Beers,Xavier Edwards,33645,2B/SS,6,hitters,33645,22266,22266,Xavier Edwards,621.8
4142,The Milwaukee Beers,Connor Norby,40284,3B,6,hitters,40284,29592,29592,Connor Norby,511.3
4142,The Milwaukee Beers,Maikel Garcia,26154,2B/SS/3B/OF,6,hitters,26154,22715,22715,Maikel Garcia,751.9
4142,The Milwaukee Beers,Ramon Laureano,21200,OF,4,hitters,21200,17128,17128,Ramón Laureano,654.3
4142,The Milwaukee Beers,Carson Kelly,23714,C,3,hitters,23714,13620,13620,Carson Kelly,371.7
4142,The Milwaukee Beers,Anthony Volpe,36683,SS,2,hitters,36683,27647,27647,Anthony Volpe,516.0
4142,The Milwaukee Beers,Paul Goldschmidt,4374,1B,2,hitters,4374,9218,9218,Paul Goldschmidt,416.2
4142,The Milwaukee Beers,Jhonkensy Noel,33905,1B/OF,1,hitters,33905,24257,24257,Jhonkensy Noel,19.1
4142,The Milwaukee Beers,Abimelec Ortiz,40214,1B/OF,1,hitters,,,,,265.9
4142,The Milwaukee Beers,Marcell Ozuna,6130,Util,1,hitters,6130,10324,10324,Marcell Ozuna,605.0
4149,Big Trouble,Randy Arozarena,23840,OF,23,hitters,23840,19290,19290,Randy Arozarena,783.3
4149,Big Trouble,Alex Bregman,18480,3B,23,hitters,18480,17678,17678,Alex Bregman,729.9
4149,Big Trouble,Jazz Chisholm Jr.,23762,2B/3B,17,hitters,23762,20454,20454,Jazz Chisholm Jr.,770.1
4149,Big Trouble,Freddie Freeman,5680,1B,15,hitters,5680,5361,5361,Freddie Freeman,862.1
4149,Big Trouble,CJ Abrams,36922,SS,13,hitters,36922,25768,25768,CJ Abrams,739.3
4149,Big Trouble,George Springer,18124,OF,12,hitters,18124,12856,12856,George Springer,748.2
4149,Big Trouble,Pete Crow-Armstrong,38327,OF,9,hitters,38327,27769,27769,Pete Crow-Armstrong,790.1
4149,Big Trouble,Ceddanne Rafaela,33907,2B/OF,9,hitters,33907,24262,24262,Ceddanne Rafaela,668.6
4149,Big Trouble,Jung Hoo Lee,44524,OF,9,hitters,,,,,708.9
4149,Big Trouble,Adley Rutschman,37257,C,8,hitters,37257,26288,26288,Adley Rutschman,665.1
4149,Big Trouble,Brooks Lee,42146,2B/SS/3B,7,hitters,42146,31595,31595,Brooks Lee,575.6
4149,Big Trouble,Spencer Steer,37216,1B/OF,5,hitters,37216,26323,26323,Spencer Steer,414.6
4149,Big Trouble,Evan Carter,38389,OF,5,hitters,38389,27790,27790,Evan Carter,530.1
4149,Big Trouble,Matt Shaw,43966,3B,5,hitters,43966,33322,33322,Matt Shaw,286.8
4149,Big Trouble,Josh Lowe,23752,OF,5,hitters,23752,19953,19953,Josh Lowe,574.3
4149,Big Trouble,JJ Wetherholt,45713,2B/SS,4,hitters,,,,,600.1
4149,Big Trouble,Kyle Teel,43949,C,4,hitters,43949,33549,33549,Kyle Teel,476.1
4149,Big Trouble,Yainer Diaz,26292,C,2,hitters,26292,23003,23003,Yainer Diaz,592.5
4060,Chyna Jr,Rafael Devers,18344,1B,38,hitters,18344,17350,17350,Rafael Devers,877.6
4060,Chyna Jr,Julio Rodriguez,33625,OF,36,hitters,33625,23697,23697,Julio Rodríguez,960.0
4060,Chyna Jr,Francisco Lindor,18122,SS,35,hitters,18122,12916,12916,Francisco Lindor,768.6
4060,Chyna Jr,Cal Raleigh,33654,C,21,hitters,33654,21534,21534,Cal Raleigh,868.1
4060,Chyna Jr,Bryce Harper,14982,1B,21,hitters,14982,11579,11579,Bryce Harper,946.6
