playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
10954,Jacob deGrom,P,27.540000915527344,27.540000915527344,162.6977996826172,0.0,0.0,1020.0880473136903,TEX,2023,pit,SP
19361,Corbin Burnes,P,32.0,32.0,196.93820190429688,0.0,0.0,1070.2925903320315,ARI,2023,pit,SP
13125,Gerrit Cole,P,32.0,32.0,197.47520446777344,0.0,0.0,1070.7291112899782,NYY,2023,pit,SP
3137,Max Scherzer,P,30.780000686645508,30.780000686645508,191.452392578125,0.0,0.0,1003.2608753204347,TOR,2023,pit,SP
19755,Shohei Ohtani,DH,29.15999984741211,29.15999984741211,173.356201171875,0.0,0.0,937.0556370735167,LAD,2023,pit,SP
16149,Aaron Nola,P,32.0,32.0,198.74850463867188,0.0,0.0,978.6716415405276,PHI,2023,pit,SP
8700,Justin Verlander,P,29.15999984741211,29.15999984741211,179.66229248046875,0.0,0.0,911.5151653289795,DET,2023,pit,SP
18684,Sandy Alcantara,P,32.0,32.0,210.61549377441406,0.0,0.0,989.7019615173341,MIA,2023,pit,SP
21483,Shane McClanahan,P,30.780000686645508,30.780000686645508,183.5386962890625,0.0,0.0,1002.9291954994201,TBR,2023,pit,SP
16137,Carlos Rodón,P,27.540000915527344,27.540000915527344,158.88490295410156,0.0,0.0,882.445192718506,NYY,2023,pit,SP
10310,Zack Wheeler,P,30.780000686645508,30.780000686645508,189.36700439453125,0.0,0.0,910.5365759849549,PHI,2023,pit,SP
26378,Nick Lodolo,P,29.15999984741211,29.15999984741211,175.622802734375,0.0,0.0,835.6485475540161,CIN,2023,pit,SP
27498,Spencer Strider,P,27.540000915527344,27.540000915527344,153.9210968017578,0.0,0.0,874.470006942749,ATL,2023,pit,SP
17295,Framber Valdez,P,30.780000686645508,30.780000686645508,195.51870727539062,0.0,0.0,943.7034649848939,DET,2023,pit,SP
19427,Shane Bieber,P,32.0,32.0,202.79649353027344,0.0,0.0,980.2717342376709,TOR,2023,pit,SP
16162,Brandon Woodruff,P,29.15999984741211,29.15999984741211,172.87660217285156,0.0,0.0,859.309274482727,MIL,2023,pit,SP
2036,Clayton Kershaw,P,29.15999984741211,29.15999984741211,172.1584930419922,0.0,0.0,813.8226141929626,,2023,pit,SP
14107,Kevin Gausman,P,30.780000686645508,30.780000686645508,180.69569396972656,0.0,0.0,890.2463291168212,TOR,2023,pit,SP
15689,Luis Castillo,P,32.0,32.0,194.5220947265625,0.0,0.0,958.3302453041076,SEA,2023,pit,SP
22182,Hunter Greene,P,29.15999984741211,29.15999984741211,168.42820739746094,0.0,0.0,778.0858787536622,CIN,2023,pit,SP
25377,Brady Singer,P,30.780000686645508,30.780000686645508,183.50770568847656,0.0,0.0,800.1912677764894,CIN,2023,pit,SP
13543,Blake Snell,P,29.15999984741211,29.15999984741211,163.08970642089844,0.0,0.0,825.763547706604,LAD,2023,pit,SP
6562,Alex Cobb,P,29.15999984741211,29.15999984741211,166.31430053710938,0.0,0.0,804.5682703971863,,2023,pit,SP
18525,Dylan Cease,P,32.0,32.0,187.5756072998047,0.0,0.0,886.3229743003845,TOR,2023,pit,SP
13743,Max Fried,P,30.780000686645508,30.780000686645508,189.53489685058594,0.0,0.0,852.1774863243104,NYY,2023,pit,SP
17995,Logan Webb,P,32.0,32.0,193.32879638671875,0.0,0.0,857.7835569381716,SFG,2023,pit,SP
14374,Tyler Glasnow,P,24.299999237060547,24.299999237060547,137.58309936523438,0.0,0.0,761.8770596027375,LAD,2023,pit,SP
10603,Chris Sale,P,25.920000076293945,25.920000076293945,146.601806640625,0.0,0.0,747.3472047805787,ATL,2023,pit,SP
19291,Zac Gallen,P,30.780000686645508,30.780000686645508,182.40170288085938,0.0,0.0,850.3261100769042,ARI,2023,pit,SP
14765,Julio Urías,P,32.0,32.0,190.23770141601562,0.0,0.0,778.4338423728943,LAD,2023,pit,SP
13074,Yu Darvish,P,29.15999984741211,29.15999984741211,181.86300659179688,0.0,0.0,815.3573072433473,SDP,2023,pit,SP
12970,Joe Musgrove,P,29.15999984741211,29.15999984741211,171.64830017089844,0.0,0.0,758.3257965087892,SDP,2023,pit,SP
2520,Lance Lynn,P,30.780000686645508,30.780000686645508,182.97340393066406,0.0,0.0,773.7370153427123,,2023,pit,SP
16511,Jordan Montgomery,P,30.780000686645508,30.780000686645508,176.07980346679688,0.0,0.0,767.2809927940369,TEX,2023,pit,SP
17085,Pablo López,P,29.15999984741211,29.15999984741211,171.23629760742188,0.0,0.0,759.4538364410399,MIN,2023,pit,SP
15423,Andrew Heaney,P,25.920000076293945,25.920000076293945,139.75289916992188,0.0,0.0,674.771236228943,,2023,pit,SP
14916,Jon Gray,P,30.780000686645508,30.780000686645508,174.19259643554688,0.0,0.0,756.5619101524354,,2023,pit,SP
4676,Charlie Morton,P,29.15999984741211,29.15999984741211,165.80470275878906,0.0,0.0,760.6566276550292,,2023,pit,SP
19447,Patrick Sandoval,P,29.15999984741211,29.15999984741211,166.3950958251953,0.0,0.0,722.559924221039,BOS,2023,pit,SP
31838,Kodai Senga,P,27.540000915527344,27.540000915527344,156.97799682617188,0.0,0.0,727.4012349128723,NYM,2023,pit,SP
11486,Robbie Ray,P,32.0,32.0,191.0303955078125,0.0,0.0,870.7917364120483,SFG,2023,pit,SP
17874,Nestor Cortes,P,29.15999984741211,29.15999984741211,170.1446075439453,0.0,0.0,725.6701983451843,,2023,pit,SP
26410,Alek Manoah,P,32.0,32.0,199.31610107421875,0.0,0.0,821.3695119857789,LAA,2023,pit,SP
19716,Dustin May,P,33.060001373291016,21.059999465942383,128.1038055419922,0.0,0.6169999837875366,609.5412734031679,STL,2023,pit,SP
25385,Drew Rasmussen,P,30.780000686645508,30.780000686645508,173.3011016845703,0.0,0.0,743.2110281944276,TBR,2023,pit,SP
17606,Cristian Javier,P,29.15999984741211,29.15999984741211,168.27259826660156,0.0,0.0,755.6691193580627,HOU,2023,pit,SP
9132,Nathan Eovaldi,P,27.540000915527344,27.540000915527344,155.06640625,0.0,0.0,644.3623586654661,TEX,2023,pit,SP
19665,Kyle Wright,P,29.15999984741211,29.15999984741211,174.55419921875,0.0,0.0,742.3201553344727,CHC,2023,pit,SP
13431,Marcus Stroman,P,30.780000686645508,30.780000686645508,178.32269287109375,0.0,0.0,717.0283489227295,,2023,pit,SP
25436,George Kirby,P,25.920000076293945,25.920000076293945,142.7593994140625,0.0,0.0,657.1122475624084,SEA,2023,pit,SP
15890,Luis Severino,P,24.299999237060547,24.299999237060547,135.91200256347656,0.0,0.0,642.7774961471557,OAK,2023,pit,SP
12768,Sonny Gray,P,27.540000915527344,27.540000915527344,148.26150512695312,0.0,0.0,625.3482553482056,BOS,2023,pit,SP
19959,Jesús Luzardo,P,27.540000915527344,27.540000915527344,158.8159942626953,0.0,0.0,696.4423228263855,PHI,2023,pit,SP
9803,Miles Mikolas,P,30.780000686645508,30.780000686645508,190.58030700683594,0.0,0.0,723.8939939498902,WSN,2023,pit,SP
22250,Logan Gilbert,P,30.780000686645508,30.780000686645508,176.37820434570312,0.0,0.0,770.5360342025755,SEA,2023,pit,SP
13164,Eduardo Rodriguez,P,29.15999984741211,29.15999984741211,169.4597930908203,0.0,0.0,692.6733843803406,ARI,2023,pit,SP
15038,Germán Márquez,P,32.0,32.0,192.92300415039062,0.0,0.0,645.1416719436646,SDP,2023,pit,SP
21390,Joe Ryan,P,29.15999984741211,29.15999984741211,166.28860473632812,0.0,0.0,681.5088677406311,MIN,2023,pit,SP
18679,Freddy Peralta,P,25.920000076293945,25.920000076293945,137.8415985107422,0.0,0.0,595.7584218025208,NYM,2023,pit,SP
17677,Jeffrey Springs,P,27.540000915527344,27.540000915527344,152.95289611816406,0.0,0.0,672.8977099418642,OAK,2023,pit,SP
12304,Chris Bassitt,P,30.780000686645508,30.780000686645508,179.88589477539062,0.0,0.0,728.4041570663452,BAL,2023,pit,SP
11156,Merrill Kelly,P,32.0,32.0,196.61990356445312,0.0,0.0,753.8930027008058,ARI,2023,pit,SP
17277,Ranger Suarez,P,27.540000915527344,27.540000915527344,152.81399536132812,0.0,0.0,607.4538725852967,BOS,2023,pit,SP
27552,Graham Ashcraft,P,27.540000915527344,27.540000915527344,159.16909790039062,0.0,0.0,553.3972398757935,CIN,2023,pit,SP
15873,Sean Manaea,P,27.540000915527344,27.540000915527344,156.25259399414062,0.0,0.0,648.5340606689454,NYM,2023,pit,SP
22810,Roansy Contreras,P,27.540000915527344,27.540000915527344,156.6894073486328,0.0,0.0,608.2138173103331,,2023,pit,SP
20191,Garrett Whitlock,P,33.060001373291016,21.059999465942383,126.75420379638672,0.0,0.64410001039505,543.747949743271,BOS,2023,pit,SP
15474,Lucas Giolito,P,30.780000686645508,30.780000686645508,175.66439819335938,0.0,0.0,711.2780804634094,,2023,pit,SP
6632,Carlos Carrasco,P,27.540000915527344,27.540000915527344,152.4770050048828,0.0,0.0,635.835202217102,ATL,2023,pit,SP
11674,Jameson Taillon,P,30.780000686645508,30.780000686645508,178.4595947265625,0.0,0.0,665.0540537834167,CHC,2023,pit,SP
23735,Luis Garcia,P,27.540000915527344,27.540000915527344,157.12440490722656,0.0,0.0,650.1328566551209,,2023,pit,SP
22286,Trevor Rogers,P,32.68000030517578,22.68000030517578,129.9364013671875,0.0,0.5889999866485596,585.9425529479981,BAL,2023,pit,SP
6902,Martín Pérez,P,30.780000686645508,30.780000686645508,183.9040985107422,0.0,0.0,694.9627147674562,ATL,2023,pit,SP
