playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
13125,Gerrit Cole,P,32.0,32.0,198.60830688476562,0.0,0.0,1086.0432175636292,NYY,2022,pit,SP
19361,Corbin Burnes,P,29.15999984741211,29.15999984741211,174.1280059814453,0.0,0.0,938.0900411605835,ARI,2022,pit,SP
3137,Max Scherzer,P,30.780000686645508,30.780000686645508,188.98460388183594,0.0,0.0,978.4784294128419,TOR,2022,pit,SP
19427,Shane Bieber,P,30.780000686645508,30.780000686645508,192.97300720214844,0.0,0.0,978.7462403297425,TOR,2022,pit,SP
10954,Jacob deGrom,P,19.440000534057617,19.440000534057617,114.10070037841797,0.0,0.0,732.5529649734498,TEX,2022,pit,SP
10310,Zack Wheeler,P,30.780000686645508,30.780000686645508,192.6790008544922,0.0,0.0,876.7382318496705,PHI,2022,pit,SP
16137,Carlos Rodón,P,29.15999984741211,29.15999984741211,166.07249450683594,0.0,0.0,840.0062887191771,NYY,2022,pit,SP
9132,Nathan Eovaldi,P,30.780000686645508,30.780000686645508,182.78050231933594,0.0,0.0,804.4028800964355,TEX,2022,pit,SP
16149,Aaron Nola,P,32.0,32.0,191.96670532226562,0.0,0.0,843.8998920440674,PHI,2022,pit,SP
11486,Robbie Ray,P,32.0,32.0,191.47579956054688,0.0,0.0,931.6642939567566,SFG,2022,pit,SP
15474,Lucas Giolito,P,32.0,32.0,194.0872039794922,0.0,0.0,835.3184487342835,,2022,pit,SP
16162,Brandon Woodruff,P,30.780000686645508,30.780000686645508,187.15069580078125,0.0,0.0,864.3243961334227,MIL,2022,pit,SP
8700,Justin Verlander,P,29.15999984741211,29.15999984741211,175.40750122070312,0.0,0.0,844.0643689155579,DET,2022,pit,SP
13164,Eduardo Rodriguez,P,32.0,32.0,184.95339965820312,0.0,0.0,810.142782306671,ARI,2022,pit,SP
17295,Framber Valdez,P,30.780000686645508,30.780000686645508,190.8092041015625,0.0,0.0,843.4677966117858,DET,2022,pit,SP
17995,Logan Webb,P,30.780000686645508,30.780000686645508,181.56849670410156,0.0,0.0,817.711820602417,SFG,2022,pit,SP
18525,Dylan Cease,P,30.780000686645508,30.780000686645508,172.63330078125,0.0,0.0,756.2846269607544,TOR,2022,pit,SP
4676,Charlie Morton,P,29.15999984741211,29.15999984741211,169.11700439453125,0.0,0.0,786.7413848876952,,2022,pit,SP
14168,José Berríos,P,32.0,32.0,195.55799865722656,0.0,0.0,833.4362504959106,TOR,2022,pit,SP
19374,Walker Buehler,P,32.0,32.0,198.2801055908203,0.0,0.0,806.557483959198,SDP,2022,pit,SP
14107,Kevin Gausman,P,32.0,32.0,188.2469024658203,0.0,0.0,826.0414554595949,TOR,2022,pit,SP
19755,Shohei Ohtani,DH,27.540000915527344,27.540000915527344,164.8784942626953,0.0,0.0,758.0160032272338,LAD,2022,pit,SP
14309,Frankie Montas,P,30.780000686645508,30.780000686645508,184.87049865722656,0.0,0.0,831.2503318786621,,2022,pit,SP
15873,Sean Manaea,P,30.780000686645508,30.780000686645508,178.91290283203125,0.0,0.0,775.1979711532592,NYM,2022,pit,SP
18684,Sandy Alcantara,P,32.0,32.0,199.94850158691406,0.0,0.0,850.4152769088746,MIA,2022,pit,SP
15689,Luis Castillo,P,29.15999984741211,29.15999984741211,172.39390563964844,0.0,0.0,695.6750247001648,SEA,2022,pit,SP
13743,Max Fried,P,30.780000686645508,30.780000686645508,184.58160400390625,0.0,0.0,764.0197668075562,NYY,2022,pit,SP
16269,John Means,P,29.15999984741211,29.15999984741211,171.5178985595703,0.0,0.0,616.0290593147276,KCR,2022,pit,SP
17085,Pablo López,P,29.15999984741211,29.15999984741211,166.1654052734375,0.0,0.0,729.7476959228518,MIN,2022,pit,SP
2036,Clayton Kershaw,P,25.920000076293945,25.920000076293945,151.0225067138672,0.0,0.0,643.4021427154541,,2022,pit,SP
12970,Joe Musgrove,P,30.780000686645508,30.780000686645508,182.35360717773438,0.0,0.0,763.3441967010499,SDP,2022,pit,SP
18679,Freddy Peralta,P,29.15999984741211,29.15999984741211,163.10760498046875,0.0,0.0,696.9002939224242,NYM,2022,pit,SP
21483,Shane McClanahan,P,27.540000915527344,27.540000915527344,159.0222930908203,0.0,0.0,731.738353061676,TBR,2022,pit,SP
15038,Germán Márquez,P,32.0,32.0,193.25570678710938,0.0,0.0,647.1186232566835,SDP,2022,pit,SP
13074,Yu Darvish,P,29.15999984741211,29.15999984741211,168.8603057861328,0.0,0.0,718.544435119629,SDP,2022,pit,SP
16511,Jordan Montgomery,P,29.15999984741211,29.15999984741211,164.2436981201172,0.0,0.0,671.8816708564757,TEX,2022,pit,SP
22286,Trevor Rogers,P,27.540000915527344,27.540000915527344,153.98399353027344,0.0,0.0,698.0115928649902,BAL,2022,pit,SP
17282,Michael Kopech,P,39.439998626708984,19.440000534057617,126.91999816894531,0.0,0.629800021648407,599.8879826068878,,2022,pit,RP
14765,Julio Urías,P,30.780000686645508,30.780000686645508,179.902099609375,0.0,0.0,694.6498436927795,LAD,2022,pit,SP
2520,Lance Lynn,P,22.68000030517578,22.68000030517578,131.30299377441406,0.0,0.0,556.8053853034974,,2022,pit,SP
10603,Chris Sale,P,19.440000534057617,19.440000534057617,108.19490051269531,0.0,0.0,544.8050331115724,ATL,2022,pit,SP
12304,Chris Bassitt,P,30.780000686645508,30.780000686645508,182.75990295410156,0.0,0.0,738.2724918365479,BAL,2022,pit,SP
16358,Tyler Mahle,P,30.780000686645508,30.780000686645508,178.83180236816406,0.0,0.0,633.9176750183107,SFG,2022,pit,SP
14444,Hyun Jin Ryu,P,29.15999984741211,29.15999984741211,167.5718994140625,0.0,0.0,652.0254292488097,,2022,pit,SP
14916,Jon Gray,P,30.780000686645508,30.780000686645508,177.84649658203125,0.0,0.0,681.2829499244689,,2022,pit,SP
19879,Tanner Houck,P,32.29999923706055,24.299999237060547,143.1721954345703,0.0,0.5914000272750854,611.3526465415955,BOS,2022,pit,SP
19447,Patrick Sandoval,P,25.920000076293945,25.920000076293945,147.3867950439453,0.0,0.0,596.0233398437501,BOS,2022,pit,SP
11762,Noah Syndergaard,P,27.540000915527344,27.540000915527344,162.71730041503906,0.0,0.0,553.5271415710449,,2022,pit,SP
12768,Sonny Gray,P,29.15999984741211,29.15999984741211,168.94830322265625,0.0,0.0,663.6257638931276,BOS,2022,pit,SP
22267,Tarik Skubal,P,27.540000915527344,27.540000915527344,149.35040283203125,0.0,0.0,616.5527113914491,DET,2022,pit,SP
15454,Nick Pivetta,P,29.15999984741211,29.15999984741211,165.04379272460938,0.0,0.0,616.5710815429686,SDP,2022,pit,SP
13543,Blake Snell,P,25.920000076293945,25.920000076293945,135.28919982910156,0.0,0.0,613.5410606384278,LAD,2022,pit,SP
26410,Alek Manoah,P,25.920000076293945,25.920000076293945,146.73309326171875,0.0,0.0,615.1117231369019,LAA,2022,pit,SP
23735,Luis Garcia,P,29.15999984741211,29.15999984741211,168.497802734375,0.0,0.0,663.8673069000243,,2022,pit,SP
13431,Marcus Stroman,P,32.0,32.0,188.47999572753906,0.0,0.0,654.9134114265441,,2022,pit,SP
12808,Mike Clevinger,P,29.440000534057617,19.440000534057617,120.65470123291016,0.0,0.5928000211715698,551.1478462219237,PIT,2022,pit,SP
19291,Zac Gallen,P,29.15999984741211,29.15999984741211,168.88400268554688,0.0,0.0,677.374254989624,ARI,2022,pit,SP
13361,Steven Matz,P,29.15999984741211,29.15999984741211,164.08309936523438,0.0,0.0,619.5025877952576,TBR,2022,pit,SP
25377,Brady Singer,P,24.299999237060547,24.299999237060547,131.98959350585938,0.0,0.0,512.8125751495361,CIN,2022,pit,SP
1943,Zack Greinke,P,29.15999984741211,29.15999984741211,177.36050415039062,0.0,0.0,585.4264941215515,,2022,pit,SP
17277,Ranger Suarez,P,27.540000915527344,27.540000915527344,155.5290069580078,0.0,0.0,587.431751060486,BOS,2022,pit,SP
9323,Patrick Corbin,P,29.15999984741211,29.15999984741211,174.43890380859375,0.0,0.0,613.0160334587097,,2022,pit,SP
15734,Brad Keller,P,27.540000915527344,27.540000915527344,158.6125946044922,0.0,0.0,560.9095389366149,PHI,2022,pit,SP
6562,Alex Cobb,P,25.920000076293945,25.920000076293945,142.53919982910156,0.0,0.0,574.637363433838,,2022,pit,SP
6632,Carlos Carrasco,P,25.920000076293945,25.920000076293945,141.03370666503906,0.0,0.0,565.7147331237793,ATL,2022,pit,SP
13781,Alex Wood,P,25.920000076293945,25.920000076293945,142.54110717773438,0.0,0.0,586.9802265167239,,2022,pit,SP
10021,Mike Minor,P,27.540000915527344,27.540000915527344,160.36849975585938,0.0,0.0,534.8012339591978,,2022,pit,SP
15890,Luis Severino,P,30.299999237060547,24.299999237060547,143.74969482421875,0.0,0.5938000082969666,583.2650375843048,OAK,2022,pit,SP
22250,Logan Gilbert,P,25.920000076293945,25.920000076293945,140.6678009033203,0.0,0.0,573.045926761627,SEA,2022,pit,SP
19951,Ian Anderson,P,29.15999984741211,29.15999984741211,165.60440063476562,0.0,0.0,624.7841839790344,,2022,pit,SP
2233,Adam Wainwright,P,30.780000686645508,30.780000686645508,193.97900390625,0.0,0.0,666.0435438156128,,2022,pit,SP
20633,Yusei Kikuchi,P,27.540000915527344,27.540000915527344,151.69119262695312,0.0,0.0,585.3445347785951,LAA,2022,pit,SP
21390,Joe Ryan,P,25.920000076293945,25.920000076293945,146.68699645996094,0.0,0.0,577.5032145500184,MIN,2022,pit,SP
22264,Shane Baz,P,17.81999969482422,17.81999969482422,100.01249694824219,0.0,0.0,458.86116790771484,BAL,2022,pit,SP
19409,Dane Dunning,P,24.299999237060547,24.299999237060547,130.42889404296875,0.0,0.0,485.9394540786744,SEA,2022,pit,SP
21224,Bailey Ober,P,25.920000076293945,25.920000076293945,141.8428955078125,0.0,0.0,527.1448282241822,MIN,2022,pit,SP
10123,Kyle Gibson,P,32.0,32.0,189.88009643554688,0.0,0.0,618.0464708328245,,2022,pit,SP
20492,Casey Mize,P,30.780000686645508,30.780000686645508,171.06350708007812,0.0,0.0,584.6714942932128,DET,2022,pit,SP
11674,Jameson Taillon,P,27.540000915527344,27.540000915527344,151.67739868164062,0.0,0.0,525.5288250923156,CHC,2022,pit,SP
25385,Drew Rasmussen,P,35.29999923706055,24.299999237060547,142.22000122070312,0.0,0.6069999933242798,598.9785820960999,TBR,2022,pit,SP
10131,Stephen Strasburg,P,22.68000030517578,22.68000030517578,127.26830291748047,0.0,0.0,461.64623708724974,,2022,pit,SP
13896,Chris Flexen,P,29.15999984741211,29.15999984741211,170.56039428710938,0.0,0.0,596.5642330169679,,2022,pit,SP
17479,Jack Flaherty,P,22.68000030517578,22.68000030517578,125.05850219726562,0.0,0.0,514.9560513496397,DET,2022,pit,SP
11423,Jose Quintana,P,25.920000076293945,25.920000076293945,143.1696014404297,0.0,0.0,516.4236440658569,COL,2022,pit,SP
3548,Liam Hendriks,P,68.0,0.0,68.0,30.325000762939453,1.482300043106079,572.1380813121796,MIN,2022,pit,RP
13774,Zach Eflin,P,27.540000915527344,27.540000915527344,157.8632049560547,0.0,0.0,519.6113726615906,BAL,2022,pit,SP
15467,Marco Gonzales,P,30.780000686645508,30.780000686645508,184.2631072998047,0.0,0.0,583.1970745086669,SDP,2022,pit,SP
17578,JT Brubaker,P,27.540000915527344,27.540000915527344,159.8094024658203,0.0,0.0,551.996462249756,SFG,2022,pit,SP
13050,Anthony DeSclafani,P,30.780000686645508,30.780000686645508,175.2041015625,0.0,0.0,608.7109320640564,,2022,pit,SP
16256,Kyle Freeland,P,29.15999984741211,29.15999984741211,162.54559326171875,0.0,0.0,418.43394327163696,COL,2022,pit,SP
14120,Lance McCullers Jr.,P,14.579999923706055,14.579999923706055,82.88670349121094,0.0,0.0,378.62235050201417,HOU,2022,pit,SP
18413,José Urquidy,P,25.920000076293945,25.920000076293945,144.5644989013672,0.0,0.0,483.68642091751104,PIT,2022,pit,SP
14078,Michael Wacha,P,41.060001373291016,21.059999465942383,130.04429626464844,0.0,0.5914000272750854,461.8877070426941,KCR,2022,pit,SP
20468,Huascar Ynoa,P,21.059999465942383,21.059999465942383,114.79650115966797,0.0,0.0,454.3823135375978,LAA,2022,pit,SP
15440,Matthew Boyd,P,53.34000015258789,11.34000015258789,104.97460174560547,0.0,0.6435999870300293,462.3083161354066,CHC,2022,pit,RP
2429,Corey Kluber,P,25.920000076293945,25.920000076293945,148.36700439453125,0.0,0.0,547.443172454834,,2022,pit,SP
9803,Miles Mikolas,P,25.920000076293945,25.920000076293945,148.5447998046875,0.0,0.0,480.57933959960934,WSN,2022,pit,SP
21318,Tylor Megill,P,29.81999969482422,17.81999969482422,109.59770202636719,0.0,0.6435999870300293,451.5057675361634,NYM,2022,pit,SP
20000,Tyler Wells,P,44.20000076293945,16.200000762939453,120.33999633789062,2.135999917984009,0.5309000015258789,433.62770199775713,BAL,2022,pit,RP
15423,Andrew Heaney,P,26.68000030517578,22.68000030517578,129.02740478515625,0.0,0.7019000053405762,468.08291883468615,,2022,pit,SP
20370,Bruce Zimmermann,P,22.68000030517578,22.68000030517578,125.55370330810547,0.0,0.0,381.66423702239985,STL,2022,pit,SP
27468,Reid Detmers,P,19.440000534057617,19.440000534057617,107.42330169677734,0.0,0.0,406.10120515823377,LAA,2022,pit,SP
21455,Kris Bubic,P,22.68000030517578,22.68000030517578,124.45210266113281,0.0,0.0,426.730470943451,KCR,2022,pit,SP
9434,Dallas Keuchel,P,27.540000915527344,27.540000915527344,155.1790008544922,0.0,0.0,442.39277477264415,,2022,pit,SP
15488,Antonio Senzatela,P,30.780000686645508,30.780000686645508,179.69940185546875,0.0,0.0,420.3225444793701,COL,2022,pit,SP
6902,Martín Pérez,P,25.920000076293945,25.920000076293945,142.69180297851562,0.0,0.0,453.01659040451045,ATL,2022,pit,SP
14212,Josh Hader,P,67.0,0.0,67.0,25.9689998626709,1.8357000350952148,536.6726348876953,HOU,2022,pit,RP
19479,Aaron Civale,P,27.540000915527344,27.540000915527344,159.993896484375,0.0,0.0,522.2648718833923,OAK,2022,pit,SP
23550,Aaron Ashby,P,60.47999954223633,6.480000019073486,89.29660034179688,0.0,8.815600395202637,462.1029562950134,MIL,2022,pit,RP
16561,Austin Gomber,P,27.540000915527344,27.540000915527344,148.79010009765625,0.0,0.0,414.81754770278934,TEX,2022,pit,SP
22182,Hunter Greene,P,19.440000534057617,19.440000534057617,110.80799865722656,0.0,0.0,366.0044253349305,CIN,2022,pit,SP
24580,Josiah Gray,P,25.920000076293945,25.920000076293945,151.9322967529297,0.0,0.0,454.82252273559567,WSN,2022,pit,SP
10233,Aroldis Chapman,P,64.0,0.0,64.0,32.20399856567383,1.7539000511169434,545.884065246582,BOS,2022,pit,RP
21032,Emmanuel Clase,P,68.0,0.0,68.0,30.312999725341797,2.3310000896453857,535.8105557918549,CLE,2022,pit,RP
5372,Michael Pineda,P,25.920000076293945,25.920000076293945,142.2563934326172,0.0,0.0,443.10274753570553,,2022,pit,SP
13449,Taylor Rogers,P,67.0,0.0,67.0,23.947999954223633,4.185200214385986,502.06928343772887,MIN,2022,pit,RP
16933,Elieser Hernández,P,25.920000076293945,25.920000076293945,139.65769958496094,0.0,0.0,481.3852604866027,ATL,2022,pit,SP
11836,Taijuan Walker,P,25.920000076293945,25.920000076293945,144.68600463867188,0.0,0.0,481.3122178077697,PHI,2022,pit,SP
18000,Triston McKenzie,P,22.68000030517578,22.68000030517578,121.52549743652344,0.0,0.0,433.4312268257141,SDP,2022,pit,SP
11156,Merrill Kelly,P,29.15999984741211,29.15999984741211,171.38079833984375,0.0,0.0,515.0916597366331,ARI,2022,pit,SP
12917,Dylan Bundy,P,29.15999984741211,29.15999984741211,163.1793975830078,0.0,0.0,517.0310182571411,,2022,pit,SP
17874,Nestor Cortes,P,31.440000534057617,19.440000534057617,119.26239776611328,0.0,0.5938000082969666,420.2379877567291,,2022,pit,SP
12718,Adrian Houser,P,27.540000915527344,27.540000915527344,148.92909240722656,0.0,0.0,457.48486547470094,SFG,2022,pit,SP
22815,Luis Patiño,P,69.81999969482422,17.81999969482422,147.4127960205078,0.0,6.312600135803223,596.3271701812744,,2022,pit,RP
18383,Michael Soroka,P,16.200000762939453,16.200000762939453,92.54640197753906,0.0,0.0,323.56647105216973,ARI,2022,pit,SP
19911,José Suarez,P,24.299999237060547,24.299999237060547,131.0803985595703,0.0,0.0,415.14078168869014,ATL,2022,pit,SP
12863,Matt Barnes,P,67.0,0.0,67.0,17.517000198364258,7.925000190734863,459.8207365512847,,2022,pit,RP
19312,Cal Quantrill,P,29.15999984741211,29.15999984741211,168.63059997558594,0.0,0.0,522.533793067932,TEX,2022,pit,SP
16258,Aaron Bummer,P,65.0,0.0,65.0,2.0220000743865967,12.727399826049805,398.95165634155273,ATL,2022,pit,RP
17130,Raisel Iglesias,P,70.0,0.0,70.0,30.652000427246094,1.9055999517440796,525.9203092098237,ATL,2022,pit,RP
14710,Edwin Díaz,P,67.0,0.0,67.0,33.18600082397461,1.4925999641418457,543.1476571083068,LAD,2022,pit,RP
25756,Matt Brash,P,31.200000762939453,16.200000762939453,107.33999633789062,0.0,0.5917999744415283,421.193124961853,SEA,2022,pit,SP
19362,Keegan Akin,P,21.059999465942383,21.059999465942383,110.97219848632812,0.0,0.0,337.9144324302673,BAL,2022,pit,SP
17149,Domingo Germán,P,36.959999084472656,12.960000038146973,95.41280364990234,0.0,0.5938000082969666,369.5263223171234,,2022,pit,RP
19316,Eric Lauer,P,28.299999237060547,24.299999237060547,137.54119873046875,0.0,0.5935999751091003,452.7954569339751,TOR,2022,pit,SP
19959,Jesús Luzardo,P,37.060001373291016,21.059999465942383,129.89329528808594,0.0,0.6104000210762024,478.76986508369464,PHI,2022,pit,SP
23252,Spencer Howard,P,33.060001373291016,21.059999465942383,115.06179809570312,0.0,0.5453000068664551,390.2439157485961,,2022,pit,SP
19680,Sixto Sánchez,P,11.34000015258789,11.34000015258789,64.52030181884766,0.0,0.0,261.09859118461605,MIA,2022,pit,SP
22713,Carlos Hernández,P,22.68000030517578,22.68000030517578,125.49600219726562,0.0,0.0,399.3426571846009,CLE,2022,pit,SP
7005,Ryan Pressly,P,66.0,0.0,66.0,29.958999633789062,1.804900050163269,502.8445976257325,,2022,pit,RP
20191,Garrett Whitlock,P,71.23999786376953,3.240000009536743,86.46800231933594,10.947999954223633,11.00469970703125,482.0431813716889,BOS,2022,pit,RP
12049,Kyle Hendricks,P,30.780000686645508,30.780000686645508,183.564697265625,0.0,0.0,492.2572362899781,,2022,pit,SP
26378,Nick Lodolo,P,9.720000267028809,9.720000267028809,55.40399932861328,0.0,0.0,214.96197624206542,CIN,2022,pit,SP
21366,Glenn Otto Jr.,P,20.959999084472656,12.960000038146973,78.81060028076172,0.0,0.5453000068664551,298.9903377056122,HOU,2022,pit,SP
