playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
2036,Clayton Kershaw,P,29.15999984741211,29.15999984741211,190.32000732421875,0.0,0.0,1077.0314812660215,,2018,pit,SP
2429,Corey Kluber,P,32.0,32.0,212.8699951171875,0.0,0.0,1109.4016179084776,,2018,pit,SP
11762,Noah Syndergaard,P,30.780000686645508,30.780000686645508,182.4980010986328,0.0,0.0,1023.2881981849671,,2018,pit,SP
10603,Chris Sale,P,29.15999984741211,29.15999984741211,192.41799926757812,0.0,0.0,1056.6574043273927,ATL,2018,pit,SP
3137,Max Scherzer,P,32.0,32.0,207.45399475097656,0.0,0.0,1079.7760599136352,TOR,2018,pit,SP
10131,Stephen Strasburg,P,30.780000686645508,30.780000686645508,188.447998046875,0.0,0.0,946.1568060874938,,2018,pit,SP
10954,Jacob deGrom,P,32.0,32.0,203.35000610351562,0.0,0.0,1009.8335046768188,TEX,2018,pit,SP
1943,Zack Greinke,P,32.0,32.0,202.78500366210938,0.0,0.0,909.1889304161072,,2018,pit,SP
15890,Luis Severino,P,30.780000686645508,30.780000686645508,188.2740020751953,0.0,0.0,894.722521877289,OAK,2018,pit,SP
6345,Chris Archer,P,32.0,32.0,196.08900451660156,0.0,0.0,964.3040422439575,,2018,pit,SP
11423,Jose Quintana,P,32.0,32.0,196.07699584960938,0.0,0.0,916.0238110542299,COL,2018,pit,SP
6632,Carlos Carrasco,P,27.540000915527344,27.540000915527344,168.5540008544922,0.0,0.0,811.8480721473693,ATL,2018,pit,SP
14916,Jon Gray,P,32.0,32.0,190.33799743652344,0.0,0.0,807.6482993125915,,2018,pit,SP
11682,Carlos Martinez,P,32.0,32.0,202.08099365234375,0.0,0.0,909.0886833190918,,2018,pit,SP
16149,Aaron Nola,P,29.15999984741211,29.15999984741211,179.83200073242188,0.0,0.0,818.6259311676026,PHI,2018,pit,SP
13074,Yu Darvish,P,29.15999984741211,29.15999984741211,173.43499755859375,0.0,0.0,849.5792201042175,SDP,2018,pit,SP
9434,Dallas Keuchel,P,32.0,32.0,201.94000244140625,0.0,0.0,855.3618806838989,,2018,pit,SP
11486,Robbie Ray,P,29.15999984741211,29.15999984741211,168.0030059814453,0.0,0.0,835.1472452163696,SFG,2018,pit,SP
11674,Jameson Taillon,P,32.0,32.0,189.26400756835938,0.0,0.0,817.1776048660279,CHC,2018,pit,SP
13431,Marcus Stroman,P,30.780000686645508,30.780000686645508,192.1179962158203,0.0,0.0,793.4257573127747,,2018,pit,SP
8700,Justin Verlander,P,32.0,32.0,203.8419952392578,0.0,0.0,923.7765163421632,DET,2018,pit,SP
11828,James Paxton,P,29.15999984741211,29.15999984741211,175.6230010986328,0.0,0.0,821.1383160591126,,2018,pit,SP
3184,David Price,P,29.15999984741211,29.15999984741211,179.94700622558594,0.0,0.0,802.1206481933593,,2018,pit,SP
