playerid,PlayerName,minpos,G,FPTS,Team,season,stats,role
10155,Mike Trout,OF,143.4510040283203,1152.12527718544,LAA,2016,bat,OF
11579,Bryce Harper,OF,138.36399841308594,1056.6001602768897,PHI,2016,bat,OF
11493,Manny Machado,3B,144.52000427246094,888.9834920048713,SDP,2016,bat,3B
5038,Josh Donaldson,3B,144.86000061035156,907.2505058050156,,2016,bat,3B
15429,Kris Bryant,3B/OF,143.56399536132812,909.0881755828858,COL,2016,bat,3B/OF
9847,Andrew McCutchen,OF,146.3509979248047,983.6844803094863,TEX,2016,bat,OF
4949,Giancarlo Stanton,DH/OF,127.51000213623047,938.8062330007552,NYY,2016,bat,DH/OF
9218,Paul Goldschmidt,1B,144.8280029296875,1042.618055808544,NYY,2016,bat,1B
9166,Buster Posey,C,127.36399841308594,779.2767443895339,,2016,bat,C
3473,Anthony Rizzo,1B,145.2169952392578,971.4860444307326,,2016,bat,1B
4940,Jason Heyward,OF,143.66200256347656,826.9006150722503,,2016,bat,OF
13611,Mookie Betts,OF,142.1230010986328,892.0548007488251,LAD,2016,bat,OF
14162,Carlos Correa,SS,142.05799865722656,821.924260210991,HOU,2016,bat,SS
4314,Joey Votto,1B,138.94700622558594,950.4367273807526,,2016,bat,1B
9777,Nolan Arenado,3B,142.93299865722656,892.3785897254943,ARI,2016,bat,3B
14225,Yasiel Puig,OF,128.88699340820312,811.3534986495971,,2016,bat,OF
1744,Miguel Cabrera,1B/3B,133.1479949951172,951.4805400013922,,2016,bat,1B/3B
11038,Kevin Kiermaier,OF,136.2100067138672,585.7757594108581,,2016,bat,OF
9368,Evan Longoria,3B,146.72300720214844,748.5472612142562,,2016,bat,3B
639,Adrian Beltré,3B,128.5469970703125,725.4447337627411,,2016,bat,3B
9785,Kyle Seager,3B,144.39100646972656,757.7614920854568,,2016,bat,3B
9241,Starling Marte,OF,142.47900390625,793.4626231431961,KCR,2016,bat,OF
5209,Alex Gordon,OF,140.7779998779297,753.5391360759735,,2016,bat,OF
8090,Matt Carpenter,3B,146.23699951171875,826.3368105888367,,2016,bat,3B
