playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
sa915714,Paul Balestrieri,P,0.23980000615119934,0.16179999709129333,1.0,0.0,0.0,1.3138735562562944,,2021,pit,SP
25512,Nate Fisher,P,0.34040001034736633,0.1404000073671341,1.0,0.0,0.0,1.5279399268329148,,2021,pit,RP
sa510341,Jose Pena,P,1.0,0.0,1.0,0.0,0.0,2.7057467587292194,,2021,pit,RP
sa872713,J.D. Busfield,P,0.40959998965263367,0.12559999525547028,1.0,0.0,0.0,1.5675665639340872,,2021,pit,RP
sa3011196,Josh Hendrickson,P,0.4648999869823456,0.11389999836683273,1.0,0.0,0.0,1.7498068712651729,,2021,pit,RP
sa875673,Austin Orewiler,P,0.18199999630451202,0.17399999499320984,1.0,0.0,0.0,1.1036334283649922,,2021,pit,SP
sa3011223,Frank Valentino,P,0.19030000269412994,0.17229999601840973,1.0,0.0,0.0,1.1657064966857433,,2021,pit,SP
sa873529,Tomás Alastre,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,0.987706679105758,,2021,pit,SP
sa3003036,Samuel Reyes,P,0.7378000020980835,0.055799998342990875,1.0,0.0,0.0,2.1776066660881046,,2021,pit,RP
22461,Logan Gillaspie,P,0.30570000410079956,0.1476999968290329,1.0,0.0,0.0,1.444593489170075,SDP,2021,pit,RP
1330,Pedro Beato,P,1.0,0.0,1.0,0.0,0.0,2.5263066574931146,PHI,2021,pit,RP
23590,Ben Brown,P,0.4846000075340271,0.1096000000834465,1.0,0.0,0.0,1.791140065342188,CHC,2021,pit,RP
sa3005358,Max Gamboa,P,1.0,0.0,1.0,0.0,0.0,2.6991467326879506,,2021,pit,RP
sa917803,Deivi Diaz,P,0.30570000410079956,0.1476999968290329,1.0,0.0,0.0,1.4915599755942819,,2021,pit,RP
13892,Paul Sewald,P,1.0,0.0,1.0,0.0,0.0,2.9479468040168286,ARI,2021,pit,RP
sa829881,Andrew Case,P,1.0,0.0,1.0,0.0,0.0,2.5217600397765634,,2021,pit,RP
sa857665,Brock Hartson,P,0.2240999937057495,0.16509999334812164,1.0,0.0,0.0,1.4115132540464406,,2021,pit,SP
sa3007243,Andrew Politi,P,0.61080002784729,0.0828000009059906,1.0,0.0,0.0,2.138140112906695,,2021,pit,RP
16218,Brett Graves,P,1.0,0.0,1.0,0.0,0.0,2.839373278617859,,2021,pit,RP
sa3007801,Andrew Mitchell,P,0.8795999884605408,0.025599999353289604,1.0,0.0,0.0,2.70658670514822,,2021,pit,RP
sa3005420,Connor Strain,P,1.0,0.0,1.0,0.0,0.0,2.5094266474246982,,2021,pit,RP
sa3006543,Eddy Yean,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.0420467987656594,WSN,2021,pit,SP
sa549266,David Richardson,P,1.0,0.0,1.0,0.0,0.0,2.564066652953625,,2021,pit,RP
sa3007834,Taylor Lehman,P,0.29660001397132874,0.14959999918937683,1.0,0.0,0.0,1.34781359359622,,2021,pit,SP
