playerid,PlayerName,minpos,G,FPTS,Team,season,stats,role
10155,Mike Trout,OF,145.7030029296875,1132.5453617095948,LAA,2017,bat,OF
11493,Manny Machado,3B,145.427001953125,959.9484574913977,SDP,2017,bat,3B
5038,Josh Donaldson,3B,143.3209991455078,949.7901757001877,,2017,bat,3B
15429,Kris Bryant,3B/OF,145.52499389648438,947.4858559131623,COL,2017,bat,3B/OF
13611,Mookie Betts,OF,145.4759979248047,968.212847995758,LAD,2017,bat,OF
11579,Bryce Harper,OF,139.22300720214844,991.5621301054954,PHI,2017,bat,OF
12916,Francisco Lindor,SS,145.58900451660156,778.2866446018218,NYM,2017,bat,SS
13624,Corey Seager,SS,145.8159942626953,845.3492326974869,TEX,2017,bat,SS
14162,Carlos Correa,SS,145.23300170898438,851.5241645812988,HOU,2017,bat,SS
9166,Buster Posey,C,125.63099670410156,739.446946156025,,2017,bat,C
3473,Anthony Rizzo,1B,145.9459991455078,972.920965385437,,2017,bat,1B
9777,Nolan Arenado,3B,146.91799926757812,964.2154148817061,ARI,2017,bat,3B
11038,Kevin Kiermaier,OF,138.072998046875,660.1718094348907,,2017,bat,OF
11477,Christian Yelich,OF,142.51100158691406,843.1403409242629,MIL,2017,bat,OF
5417,Jose Altuve,2B,146.3179931640625,896.1696277379989,HOU,2017,bat,2B
1744,Miguel Cabrera,1B/3B,141.49099731445312,1006.9775180697441,,2017,bat,1B/3B
12856,George Springer,OF,139.6280059814453,829.7336292028426,TOR,2017,bat,OF
4949,Giancarlo Stanton,DH/OF,119.58799743652344,818.279801428318,NYY,2017,bat,DH/OF
9218,Paul Goldschmidt,1B,144.8280029296875,980.3256609916687,NYY,2017,bat,1B
9785,Kyle Seager,3B,145.1199951171875,780.9839624285698,,2017,bat,3B
3269,Robinson Canó,2B,145.3300018310547,833.2005618333816,,2017,bat,2B
12161,Xander Bogaerts,SS,145.1199951171875,798.610699546337,SDP,2017,bat,SS
4314,Joey Votto,1B,144.17999267578125,972.7484418869019,,2017,bat,1B
5235,Justin Turner,3B,132.4669952392578,728.5761002302169,,2017,bat,3B
12861,Anthony Rendon,3B,136.6790008544922,748.6666522741317,LAA,2017,bat,3B
639,Adrian Beltré,3B,132.51600646972656,763.9714727163314,,2017,bat,3B
9368,Evan Longoria,3B,143.51600646972656,771.7603250741957,,2017,bat,3B
16252,Trea Turner,SS,143.0780029296875,836.6506700992584,PHI,2017,bat,SS
11442,Gary Sánchez,C,121.71099853515625,694.0348293304443,MIL,2017,bat,C
5361,Freddie Freeman,1B,146.74000549316406,925.9044617652892,LAD,2017,bat,1B
8370,Dustin Pedroia,2B,135.38299560546875,720.7241802930832,,2017,bat,2B
14106,Addison Russell,SS,139.4010009765625,615.9264767646789,,2017,bat,SS
7870,Jonathan Lucroy,C,121.8239974975586,636.5977273702621,,2017,bat,C
11899,Joc Pederson,OF,128.7740020751953,678.7943999052048,TEX,2017,bat,OF
4892,Mike Moustakas,3B,130.1179962158203,708.8422866463661,,2017,bat,3B
10847,Andrelton Simmons,SS,127.6240005493164,488.5402567505836,,2017,bat,SS
17678,Alex Bregman,3B,136.58200073242188,703.4736123561859,CHC,2017,bat,3B
4940,Jason Heyward,OF,127.47799682617188,607.6013669729233,,2017,bat,OF
12984,Jackie Bradley Jr.,OF,134.92999267578125,647.4944250583648,,2017,bat,OF
9810,Brian Dozier,2B,145.75100708007812,790.9713547945022,,2017,bat,2B
9241,Starling Marte,OF,130.27999877929688,712.7819620370865,KCR,2017,bat,OF
9847,Andrew McCutchen,OF,143.17599487304688,874.4606500625611,TEX,2017,bat,OF
5343,Brandon Crawford,SS,142.18699645996094,619.0858298301697,,2017,bat,SS
9077,Lorenzo Cain,OF,125.29100036621094,633.8075036287307,,2017,bat,OF
11368,Yasmani Grandal,C,112.4280014038086,561.7906355082988,,2017,bat,C
13510,José Ramírez,3B,136.71200561523438,665.5761492013932,CLE,2017,bat,3B
9256,AJ Pollock,OF,129.79400634765625,707.7515459537506,,2017,bat,OF
7304,Salvador Perez,C,119.97699737548828,541.8506847977637,KCR,2017,bat,C
12434,Kevin Pillar,OF,132.82400512695312,541.7149539589881,,2017,bat,OF
3531,Troy Tulowitzki,SS,116.75299835205078,593.936308377981,,2017,bat,SS
13110,Yoenis Cespedes,OF,135.41600036621094,753.4919595241547,,2017,bat,OF
8090,Matt Carpenter,3B,144.697998046875,838.2675303459167,,2017,bat,3B
6195,Ian Kinsler,2B,141.76600646972656,703.744237112999,,2017,bat,2B
12164,Miguel Sanó,1B/3B,126.7969970703125,696.1723864793777,,2017,bat,1B/3B
16478,Kyle Schwarber,DH/OF,122.9260025024414,746.0587448120116,PHI,2017,bat,DH/OF
11200,Kole Calhoun,OF,144.0989990234375,732.9685837745667,,2017,bat,OF
4316,Daniel Murphy,1B/2B,131.28500366210938,784.9055075407027,,2017,bat,1B/2B
7007,Yadier Molina,C,119.39399719238281,531.2524004817008,,2017,bat,C
1887,José Bautista,OF,124.70800018310547,764.661852824688,,2017,bat,OF
2396,Carlos Santana,1B,145.9459991455078,875.8042801856994,ARI,2017,bat,1B
12179,Maikel Franco,3B,138.49400329589844,753.9260691523552,,2017,bat,3B
785,Todd Frazier,3B,146.0749969482422,713.9208505690098,,2017,bat,3B
14225,Yasiel Puig,OF,116.70500183105469,654.1921927213668,,2017,bat,OF
10324,Marcell Ozuna,DH/OF,134.24899291992188,683.6942038297653,PIT,2017,bat,DH/OF
10264,Brandon Belt,1B,138.85000610351562,742.9668140411376,,2017,bat,1B
11936,Joe Panik,2B,126.84600067138672,594.5195601463319,,2017,bat,2B
6368,Adam Jones,OF,142.80299377441406,760.6083949446677,,2017,bat,OF
4616,Russell Martin,C,112.65499877929688,495.4797829151154,,2017,bat,C
7435,Ben Zobrist,2B/OF,123.36299896240234,665.149706363678,,2017,bat,2B/OF
11205,Adam Eaton,OF,143.5970001220703,762.081729364395,,2017,bat,OF
15937,Aledmys Díaz,SS,127.81800079345703,691.7463530302048,,2017,bat,SS
9272,Chris Davis,1B,144.17999267578125,798.6872096180914,,2017,bat,1B
4922,Ender Inciarte,OF,136.04800415039062,632.2052440166473,,2017,bat,OF
11739,J.T. Realmuto,C,112.18499755859375,479.76139984130856,PHI,2017,bat,C
10047,Wil Myers,1B/OF,138.60699462890625,746.7927888870239,,2017,bat,1B/OF
9776,Jason Kipnis,2B,133.81199645996094,686.6634880065917,,2017,bat,2B
5000,Stephen Vogt,C,118.0979995727539,550.8951792120934,,2017,bat,C
9874,DJ LeMahieu,2B,141.3769989013672,778.100671005249,,2017,bat,2B
11609,Willson Contreras,C,110.38700103759766,522.1158405780792,BOS,2017,bat,C
11476,Odúbel Herrera,OF,143.968994140625,703.2782805919647,,2017,bat,OF
5933,Jean Segura,2B/SS,141.68499755859375,657.5973294734955,,2017,bat,2B/SS
3312,Martín Prado,3B,126.71600341796875,603.5204348802565,,2017,bat,3B
12282,Rougned Odor,2B,144.06700134277344,771.9536939620971,,2017,bat,2B
5222,Justin Upton,OF,144.50399780273438,786.8003440618515,,2017,bat,OF
7539,Neil Walker,2B,122.18000030517578,615.222479891777,,2017,bat,2B
12907,Gregory Polanco,OF,138.68800354003906,713.9723175764083,,2017,bat,OF
12775,Brad Miller,SS,131.22000122070312,645.3288860797882,,2017,bat,SS
15172,Tim Anderson,SS,142.22000122070312,608.2061222076416,,2017,bat,SS
3711,Eric Thames,1B/OF,124.69100189208984,739.7441423177718,,2017,bat,1B/OF
12564,Trevor Story,SS,131.43099975585938,704.8091210842133,BOS,2017,bat,SS
3892,Josh Reddick,OF,111.50499725341797,554.6169017314911,,2017,bat,OF
6012,Didi Gregorius,SS,136.74400329589844,578.7855588793753,,2017,bat,SS
15676,José Abreu,1B,142.28500366210938,830.5104447007179,,2017,bat,1B
4810,Brian McCann,C,105.6729965209961,457.4272019982338,,2017,bat,C
4062,Dexter Fowler,OF,133.55299377441406,699.3539116859437,,2017,bat,OF
10231,Jose Iglesias,SS,122.5530014038086,469.73736875057216,,2017,bat,SS
7185,Logan Forsythe,2B,131.91700744628906,655.7152880430222,,2017,bat,2B
13265,Mike Zunino,C,95.95259857177734,375.1601560115814,,2017,bat,C
2434,Nelson Cruz,DH/OF,141.23199462890625,820.3339455366134,,2017,bat,DH/OF
5209,Alex Gordon,OF,125.61499786376953,580.4797212719918,,2017,bat,OF
14131,Greg Bird,1B,116.12200164794922,646.9112736582755,,2017,bat,1B
13862,Devon Travis,2B,114.56600189208984,555.8464390158653,,2017,bat,2B
4720,Chase Headley,3B,120.9489974975586,508.54445707798,,2017,bat,3B
11003,Evan Gattis,C/DH,101.33100128173828,494.46115936040883,,2017,bat,C/DH
11265,Jonathan Schoop,2B,137.45700073242188,625.3206472158432,,2017,bat,2B
13329,Jake Lamb,3B,137.8939971923828,701.9311964511871,,2017,bat,3B
4866,Jarrod Dyson,OF,101.10399627685547,429.60090517997736,,2017,bat,OF
3410,Ryan Braun,OF,125.85800170898438,760.7967193365096,,2017,bat,OF
4881,Carlos Gómez,OF,125.09600067138672,601.4556451678277,,2017,bat,OF
10199,Billy Hamilton,OF,127.63999938964844,535.735731935501,,2017,bat,OF
4747,Curtis Granderson,OF,133.99000549316406,688.1455976724624,,2017,bat,OF
5275,Francisco Cervelli,C,99.88919830322266,415.08733847141264,MIA,2017,bat,C
3516,Eric Hosmer,1B,145.41099548339844,795.3151837825775,,2017,bat,1B
6184,J.D. Martinez,DH/OF,132.33799743652344,750.8838998794554,,2017,bat,DH/OF
18314,Dansby Swanson,SS,137.4409942626953,616.5670964717864,CHC,2017,bat,SS
2151,Edwin Encarnación,1B/3B/DH,133.94200134277344,782.519845482707,,2017,bat,1B/3B/DH
3256,Welington Castillo,C,95.48280334472656,399.6605326622725,WSN,2017,bat,C
12532,Kolten Wong,2B,116.51000213623047,507.9828263759613,,2017,bat,2B
7287,Carlos González,OF,136.33900451660156,832.0316321611404,,2017,bat,OF
9927,Brett Gardner,OF,125.76100158691406,616.9536915302276,,2017,bat,OF
4298,Matt Wieters,C,93.26339721679688,386.64502500295634,,2017,bat,C
10243,Randal Grichuk,OF,123.60600280761719,576.7387585878372,NYY,2017,bat,OF
7739,Travis d'Arnaud,C,81.19439697265625,348.671923071146,LAA,2017,bat,C
