playerid,PlayerName,minpos,G,FPTS,Team,season,stats,role
20123,Juan Soto,OF,150.0,1278.2586260318756,NYM,2022,bat,OF
10155,Mike Trout,OF,149.0399932861328,1102.235002231598,LAA,2022,bat,OF
18401,Ronald Acuña Jr.,OF,134.4600067138672,1080.9495262145995,ATL,2022,bat,OF
13510,José Ramírez,3B,150.0,1020.2718069791794,CLE,2022,bat,3B
19611,Vladimir Guerrero Jr.,1B,150.0,1190.874850356579,TOR,2022,bat,1B
15640,Aaron Judge,OF,150.0,1040.3080242931842,NYY,2022,bat,OF
13611,Mookie Betts,OF,150.0,1010.2316392421722,LAD,2022,bat,OF
14162,Carlos Correa,SS,147.4199981689453,890.3230314850807,HOU,2022,bat,SS
23667,Wander Franco,SS,149.0399932861328,879.3334106445312,TBR,2022,bat,SS
11493,Manny Machado,3B,150.0,964.5629338741302,SDP,2022,bat,3B
16252,Trea Turner,SS,150.0,947.7665151119232,PHI,2022,bat,SS
17678,Alex Bregman,3B,145.8000030517578,927.0848962426186,CHC,2022,bat,3B
19612,Bo Bichette,SS,150.0,941.3416636824606,NYM,2022,bat,SS
11579,Bryce Harper,OF,150.0,1080.7078239083291,PHI,2022,bat,OF
13624,Corey Seager,SS,139.32000732421875,893.7038900613784,TEX,2022,bat,SS
17350,Rafael Devers,3B,150.0,984.6338219285012,SFG,2022,bat,3B
20043,Luis Robert Jr.,OF,149.0399932861328,905.3753213167191,NYM,2022,bat,OF
5361,Freddie Freeman,1B,150.0,1054.9264830708503,LAD,2022,bat,1B
14344,Matt Olson,1B,150.0,1058.8536947727202,ATL,2022,bat,1B
14161,Byron Buxton,OF,131.22000122070312,797.8980955958366,MIN,2022,bat,OF
18882,Brandon Lowe,2B,142.55999755859375,848.5217743992804,PIT,2022,bat,2B
12533,Marcus Semien,2B/SS,150.0,872.7810434818267,NYM,2022,bat,2B/SS
12916,Francisco Lindor,SS,150.0,854.5706148147583,NYM,2022,bat,SS
11368,Yasmani Grandal,C,124.9000015258789,722.5211836516855,,2022,bat,C
5417,Jose Altuve,2B,147.4199981689453,906.5024724364281,HOU,2022,bat,2B
12861,Anthony Rendon,3B,136.0800018310547,811.2770001173019,LAA,2022,bat,3B
11739,J.T. Realmuto,C,133.94000244140625,709.1629065752029,PHI,2022,bat,C
18345,Kyle Tucker,OF,147.4199981689453,919.5315801382066,LAD,2022,bat,OF
16556,Ozzie Albies,2B,150.0,898.6055462360381,ATL,2022,bat,2B
12161,Xander Bogaerts,SS,150.0,880.0206033587456,SDP,2022,bat,SS
9777,Nolan Arenado,3B,150.0,851.2949643254279,ARI,2022,bat,3B
13613,Ketel Marte,2B,145.8000030517578,898.4094367504119,ARI,2022,bat,2B
19251,Pete Alonso,1B,150.0,1014.1450481891633,BAL,2022,bat,1B
30116,Seiya Suzuki,DH/OF,129.60000610351562,846.965112221241,CHC,2022,bat,DH/OF
18564,Trent Grisham,OF,139.32000732421875,784.3087741851806,NYY,2022,bat,OF
19556,Yordan Alvarez,DH/OF,140.94000244140625,955.7598070025443,HOU,2022,bat,DH/OF
12856,George Springer,OF,147.4199981689453,930.304244685173,TOR,2022,bat,OF
17232,Yoán Moncada,3B,149.0399932861328,808.4445125102997,LAA,2022,bat,3B
12564,Trevor Story,SS,150.0,830.661138486862,BOS,2022,bat,SS
14128,Joey Gallo,OF,147.4199981689453,861.1632977247239,,2022,bat,OF
12927,Brandon Nimmo,OF,132.83999633789062,790.4933514833449,TEX,2022,bat,OF
16997,Gleyber Torres,2B,145.8000030517578,780.4955736994743,DET,2022,bat,2B
21523,Jonathan India,2B,149.0399932861328,874.3562109708785,KCR,2022,bat,2B
5038,Josh Donaldson,3B,131.22000122070312,801.7206856667996,,2022,bat,3B
19326,Bryan Reynolds,OF,150.0,925.0717029571532,PIT,2022,bat,OF
19197,Will Smith,C,117.4800033569336,670.1204145550728,LAD,2022,bat,C
18360,Austin Riley,3B,150.0,907.3704456567764,ATL,2022,bat,3B
9218,Paul Goldschmidt,1B,150.0,947.7731919765472,NYY,2022,bat,1B
18036,Jake Cronenworth,1B/2B,144.17999267578125,772.76267952919,SDP,2022,bat,1B/2B
13301,Max Muncy,1B/3B,139.32000732421875,887.6638279914856,LAD,2022,bat,1B/3B
4949,Giancarlo Stanton,DH/OF,137.6999969482422,913.9519867539407,NYY,2022,bat,DH/OF
19755,Shohei Ohtani,DH,145.8000030517578,1012.7473212718965,LAD,2022,bat,DH
15711,Tyler O'Neill,OF,144.17999267578125,856.7175274014471,BAL,2022,bat,OF
19709,Fernando Tatis Jr.,SS/OF,72.9000015258789,561.3865965723991,SDP,2022,bat,SS/OF
19352,Sean Murphy,C,112.62000274658203,510.60718043446536,ATL,2022,bat,C
16505,Matt Chapman,3B,150.0,745.1105876207351,SFG,2022,bat,3B
13152,Jorge Polanco,2B/SS,147.4199981689453,799.8428720712662,NYM,2022,bat,2B/SS
15986,Willy Adames,SS,142.55999755859375,726.8546533107757,SFG,2022,bat,SS
15172,Tim Anderson,SS,150.0,833.5265938043594,,2022,bat,SS
23697,Julio Rodríguez,OF,134.4600067138672,701.8419084310532,SEA,2022,bat,OF
11477,Christian Yelich,OF,145.8000030517578,885.6943195104599,MIL,2022,bat,OF
15491,J.P. Crawford,SS,150.0,696.2423137426375,SEA,2022,bat,SS
3473,Anthony Rizzo,1B,136.0800018310547,819.7442978024483,,2022,bat,1B
17929,Cedric Mullins,OF,150.0,839.6107443332671,TBR,2022,bat,OF
17982,Ty France,1B,142.55999755859375,792.0047863304613,SDP,2022,bat,1B
10472,Enrique Hernández,OF,145.8000030517578,764.8268102645874,LAD,2022,bat,OF
16622,Luis Urías,2B/3B,129.60000610351562,658.3901716470718,,2022,bat,2B/3B
21711,Oneil Cruz,SS/OF,113.4000015258789,649.3268563747406,PIT,2022,bat,SS/OF
