Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jonathan Pintaro","NYM",0.762912,0.997692,0.380676,4.18131,16.2672,1.3037,0,1.05312,0,21.4791,94.2231,19.9918,10.8467,9.97897,2.4717,10.6541,0.18411,1.0731,20.5866,8.62604,4.46421,1.93227,1.03567,0.218488,0.113073,0.10541446506977081,0.242337,1.42678,0.294764,0.728299,,,4.35216,0.040244,0.0498183,999,1.99721,-0.941873,1.13834,1.99721,0.941873,3.48221,88.80000000000001,4.2285714285714295,89,4.238095238095238,,,,,,,,,,,,,,,,,,,"Jonathan Pintaro","33980",702752
"Sam Aldegheri","LAA",1.92507,3.09102,1.65893,5.23309,9.27309,6.05919,0,0.0927715,1.59913,37.6737,169.024,38.7973,23.8104,21.9056,6.03113,17.7297,0.276294,2.86627,28.7075,6.85804,4.23551,1.61918,1.4408,0.169843,0.104895,0.0649484246969223,0.261388,1.50044,0.288208,0.680413,,,5.33236,0.0401469,-0.0616292,999,1.7775,0.998936,0.683618,1.7775,-0.998936,4.08851,100.99999999999997,2.6578947368421044,107,2.8157894736842106,,,,,,,,,,,,,,,,,,,"Sam Aldegheri","26443",691951
"Elmer Rodríguez","NYY",0.1095,0.136561,0.17154,3.92524,5.80439,0.259302,0,0.814828,0,6.88587,29.1509,6.30446,3.26433,3.00319,0.743293,2.67402,0.170884,0.134558,6.40737,8.37459,3.49501,2.39616,0.971502,0.2198,0.0917302,0.12806973606348038,0.239328,1.3039,0.28977,0.719859,,,3.90102,0.0397312,0.0676246,999,0.848743,-0.381643,1.42243,0.848743,0.381643,3.10343,30.9,4.414285714285714,29,4.142857142857143,,,,,,,,,,,,,,,,,,,"Elmer Rodriguez","sa3019459",695684
"Jean Cabrera","PHI",0.170925,1.033,0.653709,4.96944,2.10994,2.10994,0,0,0,10.8598,47.9917,11.1826,6.5178,5.99637,1.61266,4.52101,0.0772341,0.685923,7.73604,6.41118,3.74675,1.71113,1.33648,0.161196,0.094204,0.06699157506227493,0.261369,1.44603,0.286217,0.68317,,,5.0793,0.039437,0.0067317,999,0.996033,0.896781,1.30981,0.996033,-0.896781,3.25359,26.200000000000003,2.3818181818181823,27,2.4545454545454546,,,,,,,,,,,,,,,,,,,"Jean Cabrera","sa3015433",691893
"Franco Aleman","CLE",0.835846,1.18786,0,4.10934,15.1259,0,0,0.872674,0,15.692,67.8902,14.1003,7.78791,7.16488,1.90339,7.38545,0.395709,0.740641,16.6651,9.55809,4.23585,2.25648,1.09167,0.245472,0.108785,0.1366862654685974,0.235932,1.36921,0.296072,0.727795,,,4.14152,0.0391702,0.0153907,999,0.928114,-1.07775,1.2235,0.928114,1.07775,3.36867,71.4,4.4625,68,4.25,,,,,,,,,,,,,,,,,,,"Franco Aleman","sa3018178",680916
"Derek Law","ARI",0.887646,0.902281,0,4.16979,18.4145,0,0.000714906,0.826728,0.76684,19.3659,83.0638,19.1364,9.75262,8.97241,2.11609,6.75816,0.304086,0.814569,16.2643,7.55862,3.14076,2.40662,0.98342,0.195805,0.0813611,0.1144443228840828,0.253493,1.33713,0.298024,0.703904,,,4.04905,0.0391129,0.0136446,999,0.633417,0.732184,1.20979,0.633417,-0.732184,3.38694,78.6,4.136842105263158,81,4.2631578947368425,,,,,,,,,,,,,,,,,,,"Derek Law","13133",571882
"Evan Reifert","TBR",0.899555,0.888721,0,4.12588,12.3529,0,0,0.99741,0,12.8174,55.6571,10.9564,6.38684,5.87589,1.45839,6.60848,0.322928,0.79361,14.136,9.92588,4.64028,2.13907,1.02404,0.253984,0.118736,0.13524801284074783,0.227052,1.37039,0.290809,0.720089,,,4.14106,0.0382278,0.0812782,999,0.687955,-1.34034,1.25224,0.687955,1.34034,3.33035,63.300000000000004,4.86923076923077,60,4.615384615384615,,,,,,,,,,,,,,,,,,,"Evan Reifert","sa3014860",682126
"Luis Perales","WSN",1.40134,1.43883,0.870268,4.38431,14.1078,2.20097,0,0.770152,0,23.5386,103.457,21.5559,12.4639,11.4667,3.09171,12.286,0.351634,1.11787,22.1384,8.46463,4.69756,1.80192,1.18212,0.213986,0.118755,0.09523170441389084,0.239368,1.43772,0.284839,0.724348,,,4.66994,0.0374652,0.177658,999,0.94646,-0.883746,1.03442,0.94646,0.883746,3.62077,92.50000000000001,3.8541666666666674,90,3.75,,,,,,,,,,,,,,,,,,,"Luis Perales","sa3014677",691384
"Alan Rangel","PHI",1.1612,1.07703,1.12495,4.63646,11.2958,2.55577,0.0785142,0.750065,0.202418,25.6289,109.566,25.4462,14.3511,13.203,4.50981,8.80181,0.126822,0.738269,20.748,7.28599,3.0909,2.35724,1.58369,0.189365,0.0803331,0.10903149098157883,0.254395,1.3363,0.280016,0.712274,,,4.9203,0.0369872,0.165395,999,1.03876,0.100208,1.07147,1.03876,-0.100208,3.57138,81.9,3.1500000000000004,81,3.1153846153846154,,,,,,,,,,,,,,,,,,,"Alan Rangel","19524",660604
"Riley Martin","CHC",0.800936,0.868884,0,4.0889,15.9748,0,0,1.04016,0,16.9599,73.841,14.9548,8.37526,7.70524,1.83345,8.80593,0.433111,0.726962,17.1071,9.07814,4.67299,1.94268,0.972946,0.231675,0.119255,0.11241995543241501,0.23255,1.401,0.289224,0.725939,,,4.20939,0.0367935,0.09045,999,0.551863,-0.0554468,1.2071,0.551863,0.0554468,3.39054,70.20000000000002,4.129411764705884,67,3.9411764705882355,,,,,,,,,,,,,,,,,,,"Riley Martin","sa3017601",702303
"Brycen Mautz","STL",0.883746,0.872226,0,4.15455,13.6664,0.328064,0,0.997929,0,15.1976,64.8626,14.634,7.62551,7.01547,1.8647,5.18847,0.378191,0.815056,13.154,7.78977,3.07261,2.53523,1.10427,0.202798,0.0799918,0.12280582636594772,0.248628,1.30432,0.291269,0.708636,,,4.18423,0.0367508,-0.0164809,999,0.802553,-1.42532,1.26702,0.802553,1.42532,3.31065,59.400000000000006,3.9600000000000004,61,4.066666666666666,,,,,,,,,,,,,,,,,,,"Brycen Mautz","sa3020710",802408
"Easton McGee","MIL",0.99697,0.510636,0,4.20107,19.3509,0,0,0.861651,0,22.6786,96.4189,21.6184,11.5066,10.586,2.67256,7.77766,0.782832,1.02821,19.0303,7.55216,3.08656,2.44678,1.0606,0.19737,0.0806652,0.11670521646738052,0.246748,1.2962,0.287449,0.697324,,,4.15373,0.0366836,0.00584864,999,1.03117,-0.745456,1.17974,1.03117,0.745456,3.42701,91.10000000000001,3.9608695652173918,91,3.9565217391304346,,,,,,,,,,,,,,,,,,,"Easton McGee","22176",668834
"Matt Pushard","STL",2.21646,2.88228,0,4.28479,45.1745,0,0,6.18154,0,47.3387,203.105,45.7437,24.4971,22.5374,6.15595,17.7194,1.19845,1.88588,41.064,7.80707,3.3688,2.31746,1.17036,0.202182,0.0872428,0.11493882536888123,0.249286,1.34062,0.29049,0.710478,,,4.33321,0.0357229,0.0571295,999,0.904904,-2.52501,0.750035,0.904904,2.52501,3.99995,200.4,4.263829787234043,203,4.319148936170213,,,,,,,,,,,,,,,,,,,"Matt Pushard","sa3019955",690155
"Nate Pearson","HOU",1.89907,2.2382,0,4.4985,47.5818,0,0.0525462,5.98698,0.92135,51.1556,221.034,47.4071,27.7927,25.5692,7.41285,22.0182,1.52559,2.74593,49.6399,8.73333,3.87375,2.25449,1.30417,0.22458,0.0996146,0.12496563047170639,0.24154,1.35714,0.28728,0.705073,,,4.53048,0.035693,-0.193024,999,1.72207,-0.817583,0.637199,1.72207,0.817583,4.1504,218.10000000000008,4.276470588235296,213,4.176470588235294,,,,,,,,,,,,,,,,,,,"Nate Pearson","20160",663878
"Lou Trivino","PHI",0.793771,0.822749,0,4.50316,20.2884,0.0237913,0.128221,1.09709,0.456527,20.5912,89.6435,20.0794,11.1987,10.3028,2.71521,8.45382,0.399055,1.18994,17.8384,7.79678,3.695,2.11009,1.18676,0.198992,0.0943049,0.1046871542930603,0.250993,1.3857,0.292099,0.700894,,,4.52176,0.0353958,0.0272235,999,1.13035,-0.466964,1.14876,1.13035,0.466964,3.46832,79.5,3.7857142857142856,79,3.761904761904762,,,,,,,,,,,,,,,,,,,"Lou Trivino","15043",642152
"Mason Black","KCR",1.41299,2.56937,1.08934,4.92793,18.9479,3.11053,0,0.64359,0,36.0914,158.541,36.3538,21.4802,19.7618,5.59066,15.5011,0.208325,1.66045,29.4219,7.33684,3.86547,1.89805,1.39412,0.185579,0.0977734,0.08780525624752045,0.257136,1.43677,0.289217,0.689896,,,4.94497,0.0353009,-0.0463021,999,2.26635,-1.39636,0.801623,2.26635,1.39636,3.93117,107.00000000000003,2.972222222222223,110,3.0555555555555554,,,,,,,,,,,,,,,,,,,"Mason Black","30171",696131
"Chase Petty","CIN",1.8782,3.51408,1.31636,5.13444,23.8199,3.5338,0,0.818447,0,40.1665,179.661,41.7448,24.9073,22.9147,6.47377,18.7633,0.309128,2.26861,31.9332,7.1552,4.20425,1.7019,1.45056,0.177741,0.104437,0.07330414652824402,0.263159,1.50643,0.293382,0.69202,,,5.2112,0.034731,-0.0705731,999,3.57403,-2.04128,0.64851,3.57403,2.04128,4.13532,117.99999999999999,2.9499999999999997,127,3.175,,,,,,,,,,,,,,,,,,,"Chase Petty","30170",695534
"Osvaldo Bido","NYY",0.92521,0.876315,0.37183,4.52511,12.5626,0.70985,0.00981944,0.356267,0,17.5992,76.0417,16.4843,9.61817,8.84872,2.71303,7.14395,0.364014,1.1996,16.4553,8.41501,3.65331,2.30339,1.38741,0.216399,0.0939478,0.1224508211016655,0.243497,1.34257,0.283769,0.706509,,,4.69142,0.034477,-0.00734821,999,1.28356,-0.938847,1.18393,1.28356,0.938847,3.42142,62.70000000000001,3.483333333333334,59,3.2777777777777777,,,,,,,,,,,,,,,,,,,"Osvaldo Bido","23150",674370
"Ryan Webb","CLE",0.124079,0.699513,0.432025,4.72324,1.34571,1.34571,0,0,0,7.00572,30.8082,6.96873,3.99634,3.67663,0.955618,2.99159,0.0503253,0.461258,5.43832,6.98642,3.84319,1.81787,1.22765,0.176522,0.0971035,0.07941820472478867,0.254748,1.42174,0.286865,0.69168,,,4.83445,0.0339399,0.027076,999,0.932605,1.12265,1.38454,0.932605,-1.12265,3.15394,22.3,3.185714285714286,23,3.2857142857142856,,,,,,,,,,,,,,,,,,,"Ryan Webb","sa3018280",669067
"Brody Hopkins","TBR",0.0792627,0.441653,0.469456,4.63016,1.35901,1.35901,0,0,0,6.52976,29.0299,6.16574,3.65143,3.35931,0.86787,3.24229,0.0254533,0.620228,5.71163,7.87237,4.46887,1.7616,1.19619,0.19675,0.111688,0.08506205677986145,0.24499,1.44079,0.285018,0.702623,,,4.88813,0.0336792,0.036766,999,0.742245,-0.0223056,1.39062,0.742245,0.0223056,3.14583,23.9,3.414285714285714,22,3.142857142857143,,,,,,,,,,,,,,,,,,,"Brody Hopkins","sa3023515",811315
"Héctor Neris","KCR",0.9339,1.25758,0,4.50066,13.996,0,0.0194218,1.65675,0.619267,14.2232,61.3747,13.007,7.73112,7.11263,2.01271,6.29947,0.313333,0.678713,14.6241,9.25371,3.98611,2.32149,1.27358,0.238276,0.102639,0.13563686609268188,0.239115,1.3574,0.291166,0.702019,,,4.39024,0.0333458,-0.0695348,999,0.89028,0.570574,1.21745,0.89028,-0.570574,3.37673,62.20000000000003,4.442857142857145,61,4.357142857142857,,,,,,,,,,,,,,,,,,,"Hector Neris","11804",593576
"Luis Curvelo","TEX",1.57472,1.55383,0,4.56681,29.0688,0,0.0112588,2.02822,2.70279,30.6262,132.356,28.689,16.8918,15.5404,4.2141,13.09,0.880313,1.45463,27.4448,8.06512,3.84671,2.09663,1.23838,0.207357,0.0989,0.1084565818309784,0.243517,1.36416,0.284089,0.693639,,,4.55639,0.0321943,-0.129985,999,1.88009,0.115403,0.942449,1.88009,-0.115403,3.7434,124.79999999999998,4.025806451612903,123,3.967741935483871,,,,,,,,,,,,,,,,,,,"Luis Curvelo","24710",681168
"Bryan Hoeing","SDP",0.773161,0.715199,0,4.16023,15.8351,0.247919,0,0.887791,0,18.0571,76.9344,17.706,9.07268,8.34687,2.1303,5.98839,0.204626,0.693668,14.7697,7.36146,2.98472,2.46638,1.06178,0.191977,0.0778376,0.1141396313905716,0.252035,1.31219,0.291941,0.705955,,,4.14309,0.032075,0.0414598,999,0.649739,-0.577415,1.2471,0.649739,0.577415,3.33721,74.80000000000003,4.155555555555557,77,4.277777777777778,,,,,,,,,,,,,,,,,,,"Bryan Hoeing","26304",663773
"Kyle Backhus","PHI",0.726636,1.59969,0,4.30123,20.2642,0,0.090772,4.35622,0.69407,19.3578,83.6111,18.1857,10.0558,9.25135,2.32199,7.9246,0.350263,1.16972,18.2014,8.46236,3.68438,2.29682,1.07956,0.217691,0.0947793,0.1229114979505539,0.244048,1.34883,0.293808,0.702311,,,4.22339,0.0316778,0.0198735,999,1.36721,-0.553669,1.19273,1.36721,0.553669,3.4097,94.2,4.957894736842105,94,4.947368421052632,,,,,,,,,,,,,,,,,,,"Kyle Backhus","29615",679775
"AJ Smith-Shawver","ATL",0.206332,0.204621,0.0328976,3.99381,6.77382,0.430081,0,0.801668,0,8.53104,35.9627,7.50346,4.1149,3.7857,1.11417,3.39331,0.115723,0.240603,9.46736,9.9878,3.57984,2.79001,1.17541,0.263255,0.0943564,0.16889885067939758,0.232098,1.27731,0.293798,0.726349,,,3.89133,0.0315565,0.0789176,999,0.864211,-0.256359,1.38871,0.864211,0.256359,3.14838,46.500000000000014,5.166666666666668,45,5,,,,,,,,,,,,,,,,,,,"AJ Smith-Shawver","29960",700363
