playerid,PlayerName,minpos,G,FPTS,Team,season,stats,role
20123,Juan Soto,OF,149.0399932861328,1128.287643933296,NYM,2023,bat,OF
15640,Aaron Judge,OF,150.0,1120.9846243023871,NYY,2023,bat,OF
13611,Mookie Betts,OF,150.0,984.5897186994553,LAD,2023,bat,OF
18401,Ronald Acuña Jr.,OF,147.4199981689453,1010.1650849699972,ATL,2023,bat,OF
10155,Mike Trout,OF,150.0,1021.6508568763732,LAA,2023,bat,OF
19556,Yordan Alvarez,DH/OF,136.0800018310547,984.7916326045988,HOU,2023,bat,DH/OF
13510,José Ramírez,3B,150.0,954.765115427971,CLE,2023,bat,3B
19709,Fernando Tatis Jr.,SS/OF,123.12000274658203,906.7508883237839,SDP,2023,bat,SS/OF
23697,Julio Rodríguez,OF,149.0399932861328,916.1841567039489,SEA,2023,bat,OF
18345,Kyle Tucker,OF,150.0,974.7863962173461,LAD,2023,bat,OF
26288,Adley Rutschman,C/DH,130.22000122070312,712.5303483724593,BAL,2023,bat,C/DH
23667,Wander Franco,SS,144.17999267578125,818.8973692417144,TBR,2023,bat,SS
19611,Vladimir Guerrero Jr.,1B,147.4199981689453,1049.0531574964523,TOR,2023,bat,1B
17678,Alex Bregman,3B,150.0,895.5302022397518,CHC,2023,bat,3B
9777,Nolan Arenado,3B,150.0,850.8675213456153,ARI,2023,bat,3B
13624,Corey Seager,SS,142.55999755859375,885.6198136806488,TEX,2023,bat,SS
5361,Freddie Freeman,1B,150.0,1009.7447082757949,LAD,2023,bat,1B
11493,Manny Machado,3B,150.0,883.5288375020027,SDP,2023,bat,3B
16252,Trea Turner,SS,150.0,876.8937611103057,PHI,2023,bat,SS
14162,Carlos Correa,SS,144.17999267578125,834.0047430753707,HOU,2023,bat,SS
12161,Xander Bogaerts,SS,149.0399932861328,807.4457906961442,SDP,2023,bat,SS
11739,J.T. Realmuto,C,129.1999969482422,669.0058554172516,PHI,2023,bat,C
17350,Rafael Devers,3B,150.0,961.2282704591751,SFG,2023,bat,3B
12916,Francisco Lindor,SS,150.0,777.274737071991,NYM,2023,bat,SS
12927,Brandon Nimmo,OF,137.6999969482422,798.4586174488066,TEX,2023,bat,OF
18360,Austin Riley,3B,150.0,928.2309117913245,ATL,2023,bat,3B
12533,Marcus Semien,2B/SS,150.0,821.8072626113891,NYM,2023,bat,2B/SS
19612,Bo Bichette,SS,150.0,876.7209682106972,NYM,2023,bat,SS
19197,Will Smith,C,128.3699951171875,722.3470636844636,LAD,2023,bat,C
22581,Alejandro Kirk,C,111.19999694824219,631.8519288420677,TOR,2023,bat,C
12856,George Springer,OF,137.6999969482422,844.775506901741,TOR,2023,bat,OF
9218,Paul Goldschmidt,1B,150.0,923.3093933463098,NYY,2023,bat,1B
19352,Sean Murphy,C,133.4600067138672,636.4916998386384,ATL,2023,bat,C
25931,Michael Harris II,OF,140.94000244140625,726.0331510543822,ATL,2023,bat,OF
14344,Matt Olson,1B,150.0,925.8872920095919,ATL,2023,bat,1B
20043,Luis Robert Jr.,OF,137.6999969482422,795.5884070158005,NYM,2023,bat,OF
19251,Pete Alonso,1B,150.0,937.0315694212914,BAL,2023,bat,1B
19950,Andrés Giménez,2B,144.17999267578125,691.7592706441878,TOR,2023,bat,2B
15986,Willy Adames,SS,144.17999267578125,744.9240205228328,SFG,2023,bat,SS
21479,Nico Hoerner,2B/SS,136.0800018310547,683.8397786140442,CHC,2023,bat,2B/SS
19326,Bryan Reynolds,OF,150.0,872.9088805675507,PIT,2023,bat,OF
18314,Dansby Swanson,SS,150.0,721.265067398548,CHC,2023,bat,SS
16578,Yandy Díaz,1B/3B,142.55999755859375,823.6345439672469,TBR,2023,bat,1B/3B
14161,Byron Buxton,OF,129.60000610351562,740.9778577327727,MIN,2023,bat,OF
25764,Bobby Witt Jr.,SS,147.4199981689453,810.2701804161072,KCR,2023,bat,SS
16556,Ozzie Albies,2B,137.6999969482422,697.7200789451599,ATL,2023,bat,2B
16505,Matt Chapman,3B,150.0,676.8365894794464,SFG,2023,bat,3B
24610,Steven Kwan,OF,140.94000244140625,768.1349449157715,CLE,2023,bat,OF
15518,Amed Rosario,SS,142.55999755859375,688.7501199245452,NYY,2023,bat,SS
31837,Masataka Yoshida,DH/OF,123.12000274658203,767.527167403698,BOS,2023,bat,DH/OF
19755,Shohei Ohtani,DH,145.8000030517578,953.0592850208283,LAD,2023,bat,DH
