playerid,PlayerName,minpos,G,FPTS,Team,season,stats,role
15640,Aaron Judge,OF,141.06,1130.1,NYY,2026,bat,OF
25764,Bobby Witt Jr.,SS,139.93,952.8,KCR,2026,bat,SS
26289,Gunnar Henderson,SS,145.86,952.6,BAL,2026,bat,SS
21534,Cal Raleigh,C,137.84,830.0,SEA,2026,bat,C
23697,Julio Rodríguez,OF,138.87,857.0,SEA,2026,bat,OF
20123,Juan Soto,OF,137.61,1038.2,NYM,2026,bat,OF
19755,Shohei Ohtani,DH,142.27,1135.1,LAD,2026,bat,DH
18401,Ronald Acuña Jr.,OF,147.08,1045.7,ATL,2026,bat,OF
19611,Vladimir Guerrero Jr.,1B,143.49,1007.7,TOR,2026,bat,1B
19709,Fernando Tatis Jr.,SS/OF,130.47,865.7,SDP,2026,bat,SS/OF
26668,Elly De La Cruz,SS,139.58,828.0,CIN,2026,bat,SS
12916,Francisco Lindor,SS,131.61,783.2,NYM,2026,bat,SS
19556,Yordan Alvarez,DH/OF,122.33,926.5,HOU,2026,bat,DH/OF
13611,Mookie Betts,OF,132.0,795.9,LAD,2026,bat,OF
25878,Corbin Carroll,OF,135.43,872.5,ARI,2026,bat,OF
13613,Ketel Marte,2B,132.6,862.1,ARI,2026,bat,2B
13510,José Ramírez,3B,136.49,871.3,CLE,2026,bat,3B
20503,William Contreras,C,132.35,758.9,MIL,2026,bat,C
22581,Alejandro Kirk,C,106.51,551.5,TOR,2026,bat,C
29490,Jackson Merrill,OF,134.1,735.9,SDP,2026,bat,OF
13624,Corey Seager,SS,115.75,737.7,TEX,2026,bat,SS
16252,Trea Turner,SS,132.27,760.2,PHI,2026,bat,SS
18345,Kyle Tucker,OF,124.72,837.6,LAD,2026,bat,OF
19612,Bo Bichette,SS,131.59,724.7,NYM,2026,bat,SS
22799,Geraldo Perdomo,SS,125.84,692.5,ARI,2026,bat,SS
28163,Junior Caminero,3B,118.97,741.5,TBR,2026,bat,3B
17678,Alex Bregman,3B,142.12,786.0,CHC,2026,bat,3B
27479,Masyn Winn,SS,147.22,679.7,STL,2026,bat,SS
31347,Zach Neto,SS,132.54,752.7,LAA,2026,bat,SS
22715,Maikel Garcia,3B,137.94,737.0,KCR,2026,bat,3B
26288,Adley Rutschman,C/DH,124.95,640.3,BAL,2026,bat,C/DH
11579,Bryce Harper,OF,135.3,871.0,PHI,2026,bat,OF
