playerid,PlayerName,minpos,G,FPTS,Team,season,stats,role
18401,Ronald Acuña Jr.,OF,150.0,1271.178829908371,ATL,2024,bat,OF
20123,Juan Soto,OF,150.0,1170.480845546722,NYM,2024,bat,OF
15640,Aaron Judge,OF,150.0,1115.4436895430088,NYY,2024,bat,OF
13611,Mookie Betts,OF,150.0,1058.261408376694,LAD,2024,bat,OF
23697,Julio Rodríguez,OF,150.0,993.8382985591886,SEA,2024,bat,OF
19556,Yordan Alvarez,DH/OF,140.94000244140625,1107.8381224751472,HOU,2024,bat,DH/OF
26288,Adley Rutschman,C/DH,137.41000366210938,816.135684120655,BAL,2024,bat,C/DH
19709,Fernando Tatis Jr.,SS/OF,150.0,1025.0993659853937,SDP,2024,bat,SS/OF
13510,José Ramírez,3B,150.0,984.1456178188324,CLE,2024,bat,3B
13624,Corey Seager,SS,132.83999633789062,917.3582608819008,TEX,2024,bat,SS
26289,Gunnar Henderson,SS,150.0,875.0551296234132,BAL,2024,bat,SS
17350,Rafael Devers,3B,150.0,1022.2257884383199,SFG,2024,bat,3B
18345,Kyle Tucker,OF,150.0,1022.1954202175142,LAD,2024,bat,OF
25764,Bobby Witt Jr.,SS,150.0,955.4479994773862,KCR,2024,bat,SS
25878,Corbin Carroll,OF,150.0,968.7863916397094,ARI,2024,bat,OF
12533,Marcus Semien,2B/SS,150.0,889.8494660615919,NYM,2024,bat,2B/SS
14344,Matt Olson,1B,150.0,1028.3615103840827,ATL,2024,bat,1B
17678,Alex Bregman,3B,150.0,875.141270828247,CHC,2024,bat,3B
16578,Yandy Díaz,1B/3B,145.8000030517578,949.909240925312,TBR,2024,bat,1B/3B
25931,Michael Harris II,OF,145.8000030517578,808.9605116844176,ATL,2024,bat,OF
20503,William Contreras,C,135.0800018310547,785.5733757138252,MIL,2024,bat,C
12916,Francisco Lindor,SS,150.0,836.1878949880601,NYM,2024,bat,SS
5361,Freddie Freeman,1B,150.0,1028.74372330904,LAD,2024,bat,1B
10155,Mike Trout,OF,145.8000030517578,936.2623244047165,LAA,2024,bat,OF
18360,Austin Riley,3B,150.0,955.9612816095351,ATL,2024,bat,3B
19612,Bo Bichette,SS,149.0399932861328,871.6884305238724,NYM,2024,bat,SS
19755,Shohei Ohtani,DH,150.0,1087.6922778129579,LAD,2024,bat,DH
12161,Xander Bogaerts,SS,147.4199981689453,819.5768387913703,SDP,2024,bat,SS
16556,Ozzie Albies,2B,150.0,895.3854036808013,ATL,2024,bat,2B
19611,Vladimir Guerrero Jr.,1B,150.0,1012.6762398302556,TOR,2024,bat,1B
16997,Gleyber Torres,2B,149.0399932861328,859.2782718420029,DET,2024,bat,2B
5417,Jose Altuve,2B,147.4199981689453,906.386989557743,HOU,2024,bat,2B
19197,Will Smith,C,120.9800033569336,688.6360498309134,LAD,2024,bat,C
11579,Bryce Harper,OF,145.8000030517578,1005.0985975623131,PHI,2024,bat,OF
11493,Manny Machado,3B,150.0,879.2830729067324,SDP,2024,bat,3B
21534,Cal Raleigh,C,130.10000610351562,639.7162770628928,SEA,2024,bat,C
12927,Brandon Nimmo,OF,145.8000030517578,863.7589116573332,TEX,2024,bat,OF
15491,J.P. Crawford,SS,149.0399932861328,754.7961333155632,SEA,2024,bat,SS
16252,Trea Turner,SS,150.0,860.45942094326,PHI,2024,bat,SS
13613,Ketel Marte,2B,150.0,885.4830603122709,ARI,2024,bat,2B
19950,Andrés Giménez,2B,150.0,774.9804592609405,TOR,2024,bat,2B
20437,Royce Lewis,3B,137.6999969482422,791.9088557600975,MIN,2024,bat,3B
20043,Luis Robert Jr.,OF,150.0,873.0463184595108,NYM,2024,bat,OF
26121,Francisco Alvarez,C,116.91999816894531,565.3750269532204,NYM,2024,bat,C
16930,Jonah Heim,C,122.83000183105469,536.5647391855716,ATL,2024,bat,C
20036,Isaac Paredes,3B,132.83999633789062,735.1973008394241,HOU,2024,bat,3B
9777,Nolan Arenado,3B,150.0,809.3828181982041,ARI,2024,bat,3B
33824,Jung Hoo Lee,OF,134.4600067138672,763.1270825862883,SFG,2024,bat,OF
14162,Carlos Correa,SS,137.6999969482422,753.7655261516571,HOU,2024,bat,SS
