playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
27498,Spencer Strider,P,30.780000686645508,30.780000686645508,184.80160522460938,0.0,0.0,1051.2264472961426,ATL,2024,pit,SP
10310,Zack Wheeler,P,32.0,32.0,197.4420928955078,0.0,0.0,925.6005548477174,PHI,2024,pit,SP
14107,Kevin Gausman,P,32.0,32.0,193.297607421875,0.0,0.0,975.1276939392092,TOR,2024,pit,SP
17085,Pablo López,P,32.0,32.0,193.26589965820312,0.0,0.0,951.6532432556153,MIN,2024,pit,SP
17995,Logan Webb,P,32.0,32.0,201.37680053710938,0.0,0.0,953.7742877960205,SFG,2024,pit,SP
16149,Aaron Nola,P,32.0,32.0,195.10670471191406,0.0,0.0,873.7453845024108,PHI,2024,pit,SP
17295,Framber Valdez,P,30.780000686645508,30.780000686645508,195.4971923828125,0.0,0.0,949.2298377990722,DET,2024,pit,SP
22267,Tarik Skubal,P,29.15999984741211,29.15999984741211,171.18479919433594,0.0,0.0,878.9746930122374,DET,2024,pit,SP
14374,Tyler Glasnow,P,25.920000076293945,25.920000076293945,153.33889770507812,0.0,0.0,798.2237145423887,LAD,2024,pit,SP
19291,Zac Gallen,P,32.0,32.0,196.30990600585938,0.0,0.0,896.5627048492432,ARI,2024,pit,SP
13774,Zach Eflin,P,30.780000686645508,30.780000686645508,183.96609497070312,0.0,0.0,846.2523148536679,BAL,2024,pit,SP
19959,Jesús Luzardo,P,30.780000686645508,30.780000686645508,180.77720642089844,0.0,0.0,834.4156374931335,PHI,2024,pit,SP
13743,Max Fried,P,30.780000686645508,30.780000686645508,184.57960510253906,0.0,0.0,835.6190878868105,NYY,2024,pit,SP
25436,George Kirby,P,32.0,32.0,191.48240661621094,0.0,0.0,879.3828439712524,SEA,2024,pit,SP
19361,Corbin Burnes,P,32.0,32.0,197.1739044189453,0.0,0.0,891.9002700805664,ARI,2024,pit,SP
18679,Freddy Peralta,P,29.15999984741211,29.15999984741211,168.09080505371094,0.0,0.0,801.7119517326357,NYM,2024,pit,SP
17312,Justin Steele,P,30.780000686645508,30.780000686645508,181.1103057861328,0.0,0.0,805.7954257965088,CHC,2024,pit,SP
33825,Yoshinobu Yamamoto,P,29.15999984741211,29.15999984741211,176.34860229492188,0.0,0.0,783.5384342193604,LAD,2024,pit,SP
16137,Carlos Rodón,P,29.15999984741211,29.15999984741211,166.27650451660156,0.0,0.0,786.6710338592529,NYY,2024,pit,SP
15689,Luis Castillo,P,32.0,32.0,194.9217987060547,0.0,0.0,895.8087821960448,SEA,2024,pit,SP
33829,Shota Imanaga,P,29.15999984741211,29.15999984741211,177.87600708007812,0.0,0.0,778.8615756988524,CHC,2024,pit,SP
13543,Blake Snell,P,29.15999984741211,29.15999984741211,167.14590454101562,0.0,0.0,844.8466075897218,LAD,2024,pit,SP
12768,Sonny Gray,P,30.780000686645508,30.780000686645508,180.1392059326172,0.0,0.0,780.5823823928833,BOS,2024,pit,SP
24492,Grayson Rodriguez,P,30.780000686645508,30.780000686645508,174.90469360351562,0.0,0.0,811.2111715316772,LAA,2024,pit,SP
19427,Shane Bieber,P,30.780000686645508,30.780000686645508,192.76809692382812,0.0,0.0,812.384501361847,TOR,2024,pit,SP
10603,Chris Sale,P,27.540000915527344,27.540000915527344,149.85110473632812,0.0,0.0,702.1210801124573,ATL,2024,pit,SP
16511,Jordan Montgomery,P,29.15999984741211,29.15999984741211,168.90890502929688,0.0,0.0,713.8557412147522,TEX,2024,pit,SP
18525,Dylan Cease,P,30.780000686645508,30.780000686645508,178.46749877929688,0.0,0.0,795.5132230758667,TOR,2024,pit,SP
21390,Joe Ryan,P,30.780000686645508,30.780000686645508,178.56080627441406,0.0,0.0,782.8066779136657,MIN,2024,pit,SP
17594,Mitch Keller,P,32.0,32.0,190.09080505371094,0.0,0.0,766.0920778274537,PIT,2024,pit,SP
12970,Joe Musgrove,P,29.15999984741211,29.15999984741211,171.66600036621094,0.0,0.0,737.8870834350587,SDP,2024,pit,SP
13074,Yu Darvish,P,29.15999984741211,29.15999984741211,170.8614959716797,0.0,0.0,715.4427314758301,SDP,2024,pit,SP
26378,Nick Lodolo,P,35.68000030517578,22.68000030517578,139.04379272460938,0.0,0.5863000154495239,636.2109488487245,CIN,2024,pit,SP
22182,Hunter Greene,P,27.540000915527344,27.540000915527344,158.8491973876953,0.0,0.0,675.435905647278,CIN,2024,pit,SP
27483,Bobby Miller,P,25.920000076293945,25.920000076293945,150.64700317382812,0.0,0.0,636.7916642189025,LAD,2024,pit,SP
