Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nick Raquet","STL",1.26857,1.05136,0,4.57078,30.018,0,0,0.6733,,32.233,141.287,32.812,17.53,16.37,3.36541,13.1898,1.08371,1.39255,27.2486,7.60826,3.68281,2.06589,0.93968,0.19286,0.0933544,0.09950516372919083,0.258964,1.42716,0.306445,0.689552,,,4.15894,0.0836174,-0.129934,999,,,,,,,130.10000000000002,4.065625000000001,137,4.28125,,,,,,,,,,,,,,,,,,,"Nick Raquet","20333",675919
"Manuel Rodríguez","TBR",0.527559,0.374538,0,3.8487,11.724,0,0,0.6597,,12.0664,51.2235,10.9135,5.54,5.16,1.15615,4.42434,0.286251,0.814253,10.6962,7.978,3.3,2.41758,0.862341,0.208814,0.0863733,0.12244068831205368,0.237327,1.27112,0.285865,0.714168,,,3.91029,0.0834155,0.0276399,999,,,,,,,58.90000000000001,4.908333333333334,58,4.833333333333333,,,,,,,,,,,,,,,,,,,"Manuel Rodriguez","20794",655889
"Eduarniel Núñez","ATH",1.99794,1.69177,0,4.54012,47.113,0,0,6.4401,,50.5692,225.798,44.2481,27.26,25.51,5.69528,29.9008,1.48721,4.64886,54.379,9.67804,5.32156,1.81865,1.01361,0.24083,0.132423,0.10840730369091034,0.231364,1.46629,0.293905,0.708554,,,4.49821,0.0829116,-0.0356679,999,,,,,,,216.20000000000002,4.23921568627451,204,4,,,,,,,,,,,,,,,,,,,"Eduarniel Nunez","23162",674384
"Chris Murphy","CHW",1.34516,1.20854,0,4.3707,34.626,0,0,0.5829,,41.2039,178.468,37.0613,21.44,20.01,5.05109,18.2315,1.1814,2.56251,37.1132,8.10648,3.98223,2.03566,1.10329,0.207954,0.102156,0.10579869896173477,0.235051,1.34193,0.277122,0.702031,,,4.44132,0.0820786,0.0433204,999,,,,,,,160.70000000000005,3.9195121951219525,155,3.7804878048780486,,,,,,,,,,,,,,,,,,,"Chris Murphy","26214",669684
"Rolddy Muñoz","ATL",0.59063,0.41093,0,4.14889,15.244,0,0,0.6487,,16.8985,73.3945,15.3659,8.34,7.79,1.7041,7.66605,0.640072,1.2238,16.5889,8.83509,4.08287,2.16394,0.907589,0.226023,0.10445,0.12157334387302399,0.238214,1.36296,0.295635,0.711605,,,4.06097,0.0815159,0.0904593,999,,,,,,,73.20000000000002,4.305882352941177,70,4.117647058823529,,,,,,,,,,,,,,,,,,,"Rolddy Munoz","27407",691548
"Sam Bachman","LAA",0.949986,0.829555,0,4.14902,25.178,0,0,0.6222,,26.3773,114.486,23.8011,13,12.16,2.66577,12.6821,0.814727,1.37322,23.997,8.18782,4.32715,1.89219,0.909569,0.209606,0.110774,0.09883199632167816,0.23699,1.38313,0.28651,0.717019,,,4.22801,0.0811272,0.0598864,999,,,,,,,103.1,3.965384615384615,101,3.8846153846153846,,,,,,,,,,,,,,,,,,,"Sam Bachman","29754",696147
"Craig Kimbrel","NYM",1.22658,0.818818,0,4.38849,23.546,0,0,0.7168,,24.0561,103.322,19.3233,12.52,11.73,3.56691,11.7801,0.464818,1.35908,27.0687,10.1271,4.40725,2.29782,1.33447,0.261984,0.114014,0.1479700729250908,0.214269,1.29296,0.264604,0.711743,,,4.45082,0.0806496,-0.0467333,999,,,,,,,98.00000000000003,4.083333333333335,87,3.625,,,,,,,,,,,,,,,,,,,"Craig Kimbrel","6655",518886
"Jackson Jobe","DET",0.339686,0.494205,0.0650441,4.36375,2.929,1.107,0,0,,8.6829,37.1657,7.77949,4.5,4.21,1.19559,3.53634,0.14255,0.419709,7.54259,7.81804,3.66549,2.13288,1.23925,0.202945,0.0951506,0.10779410600662231,0.234254,1.30323,0.269044,0.70689,,,4.55467,0.0775681,0.136877,999,,,,,,,37.500000000000014,4.166666666666668,36,4,,,,,,,,,,,,,,,,,,,"Jackson Jobe","30203",695549
"Angel Chivilli","NYY",1.29234,0.766952,0,4.36125,25.125,0,0,0.6905,,27.5701,118.157,26.7785,14.29,13.36,3.46469,9.12243,0.561993,1.74554,22.8348,7.4542,2.97793,2.50315,1.13101,0.193259,0.0772063,0.1160523071885109,0.249593,1.30217,0.287863,0.695996,,,4.29492,0.0775599,0.0644931,999,,,,,,,117.10000000000001,4.182142857142858,118,4.214285714285714,,,,,,,,,,,,,,,,,,,"Angel Chivilli","26790",683409
"JT Brubaker","SFG",1.72934,1.61051,0,4.93633,43.261,0.272,0,12.4076,,50.9954,225.331,54.8044,30.18,27.97,6.70018,19.4792,1.41005,2.59113,44.3309,7.82381,3.43781,2.27581,1.18249,0.196737,0.0864469,0.11029026657342911,0.269626,1.45667,0.315998,0.679527,,,4.40292,0.0771974,-0.339411,999,,,,,,,218.30000000000007,4.280392156862747,234,4.588235294117647,,,,,,,,,,,,,,,,,,,"JT Brubaker","17578",664141
"Yoniel Curet","PHI",0.427423,0.549391,0.208336,4.50716,2.178,1.417,0,0,,7.2884,31.7385,6.74712,3.91,3.65,0.922678,3.21524,0.0646679,0.490484,6.78435,8.37758,3.9703,2.11006,1.13936,0.213758,0.101304,0.11245369166135788,0.240687,1.36688,0.286555,0.698032,,,4.44452,0.0760111,0.0242166,999,,,,,,,26.300000000000015,3.7571428571428593,27,3.857142857142857,,,,,,,,,,,,,,,,,,,"Yoniel Curet","sa3015446",692414
"Kyle Nicolas","CIN",1.54705,1.32308,0,4.59978,41.796,0,0,0.6505,,45.5696,200.582,41.9792,24.8,23.29,5.8839,23.3431,1.04005,2.02457,45.7978,9.04507,4.61026,1.96194,1.16207,0.228324,0.116377,0.11194750666618347,0.239587,1.43346,0.292192,0.709861,,,4.47371,0.0752753,-0.0979857,999,,,,,,,178.40000000000003,3.878260869565218,173,3.760869565217391,,,,,,,,,,,,,,,,,,,"Kyle Nicolas","27775",693312
"Michael Lorenzen","COL",6.06533,11.0327,11.7111,6.10983,24.725,24.725,0,0,,141.441,639.621,166.503,102.2,96.02,27.2352,55.332,0.458954,6.54009,103.93,6.61316,3.52082,1.8783,1.733,0.162487,0.0865076,0.0759797990322113,0.288193,1.56839,0.311853,0.651232,,,5.48108,0.0748741,-1.20824,999,,,,,,,299.1000000000001,2.1212765957446815,376,2.6666666666666665,,,,,,,,,,,,,,,,,,,"Michael Lorenzen","14843",547179
"Trent Thornton","CHC",1.00427,0.793865,0,4.51988,23.726,0,0,0.7209,,25.4675,109.125,24.3649,13.69,12.79,3.39945,8.85265,0.45227,1.30994,21.1679,7.48056,3.12845,2.39114,1.20134,0.193979,0.0811241,0.11285480111837387,0.246204,1.30431,0.281813,0.68618,,,4.40518,0.0744427,-0.0951948,999,,,,,,,101.69999999999999,4.068,102,4.08,,,,,,,,,,,,,,,,,,,"Trent Thornton","17948",663423
"José Suarez","ATL",0.565854,0.462338,0,4.59899,14.768,0.137,0,0.6487,,17.73,76.6694,17.0125,9.72,9.06,2.42973,6.82199,0.528475,0.730692,17.5287,8.89781,3.46294,2.56944,1.23336,0.228627,0.0889794,0.13964761048555374,0.246142,1.3443,0.296649,0.690774,,,4.21732,0.0742257,-0.060364,999,,,,,,,80.40000000000002,4.466666666666668,80,4.444444444444445,,,,,,,,,,,,,,,,,,,"Jose Suarez","19911",660761
