Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andruw Monasterio","BOS",31.846,109.273,98.816,23.3741,15.9219,4.31668,0.335952,2.79959,12.0719,11.4968,8.50355,0.0732369,26.4932,1.00367,0.806347,0.143415,1.52441,2.47225,0.824183,0.236542,0.0778193,0.242449,0.320971,0.301305,0.372019,0.295666,0.673325,0.135478,4.73173,0.292544,,-0.0104581,11.3687,-1.54271,84.0213,-0.0104581,-0.13,-2.068375646136701,0.010414451360702515,0.174242,999,,,,,,,100.6,3.14375,100.6,3.14375,,,,,,,,,,,,,,,,,,,"Andruw Monasterio","19455",655316
"Leody Taveras","BAL",24.701,93.024,85.3379,20.3003,13.5221,3.636,0.414169,2.72794,11.5663,9.11865,6.08302,0.171487,20.3503,0.281995,0.711324,0.609757,1.19945,3.80413,0.909672,0.237881,0.0653919,0.218764,0.298916,0.288541,0.386093,0.292593,0.674634,0.148213,6.1424,0.279054,,0.258144,9.44605,-1.54545,87.5444,0.258144,-0.38,-1.107482522726059,-0.4146534875035286,0.171844,999,,,,,,,89.6,3.584,89.6,3.584,,,,,,,,,,,,,,,,,,,"Leody Taveras","18900",665750
"CJ Kayfus","CLE",73.279,286.761,257.422,59.6791,38.4964,12.254,1.616,7.31276,31.5367,29.329,23.2778,0.323025,80.7472,3.59564,1.80946,0.656447,4.48648,3.01499,0.85192,0.231834,0.0811749,0.281584,0.28828,0.302521,0.377215,0.29827,0.679736,0.145381,4.60413,0.30593,,-0.175297,30.4407,-3.44236,91.1953,-0.175297,-0.46,-3.1511376351118088,-5.042913407087326,0.171455,999,,,,,,,274.9,3.765753424,274.9,3.765753424,,,,,,,,,,,,,,,,,,,"CJ Kayfus","33704",692216
"Tyrone Taylor","NYM",76.251,283.083,260.815,59.3145,38.3694,12.1291,2.32084,6.49515,32.0381,26.1575,14.3444,0.43755,64.9948,4.7971,1.88728,1.23922,3.23476,7.65086,2.01214,0.22742,0.050672,0.229596,0.2207,0.278367,0.366431,0.280853,0.644798,0.139011,6.2773,0.276234,,0.329385,26.0472,-7.40126,81.2794,0.329385,0.53,-5.951594352722168,-1.7932538986206055,0.171209,999,,,,,,,238.6,3.139473684,238.6,3.139473684,,,,,,,,,,,,,,,,,,,"Tyrone Taylor","13675",621438
"Ryan Bliss","SEA",26.818,99.094,89.8582,19.1948,12.8144,3.76596,0.632006,1.98248,11.9793,7.80907,7.21402,0.104037,26.7485,0.934673,0.611407,0.475714,1.04558,5.86601,1.55562,0.213612,0.0727998,0.26993,0.269699,0.277266,0.335776,0.270562,0.613042,0.122164,7.06509,0.278794,,0.398444,8.28996,-3.41876,77.4554,0.398444,0.08,-2.2346241176128387,0.4938580244779587,0.17085,999,,,,,,,82.3,3.048148148,82.3,3.048148148,,,,,,,,,,,,,,,,,,,"Ryan Bliss","29547",669208
"Elias Díaz","KCR",23.306,82.243,74.672,16.0876,10.7859,2.92202,0,2.37965,7.72801,9.32698,5.46386,0.0959455,19.5461,0.539426,0.470032,0.360844,1.65465,0.153644,0.0749832,0.215443,0.0664356,0.237663,0.279537,0.272238,0.350179,0.272987,0.622417,0.134736,1.91929,0.257589,,-0.110181,7.04217,-2.67548,69.5777,-0.110181,0.09,-3.0591016560792923,1.8883024156093597,0.169826,999,,,,,,,60.1,2.613043478,60.1,2.613043478,,,,,,,,,,,,,,,,,,,"Elias Diaz","11680",553869
"Jurickson Profar","ATL",11.185,47.898,41.4069,10.2356,6.6857,1.93129,0.0794468,1.53919,6.00131,5.35912,5.31829,0.0861556,7.70055,0.644276,0.31463,0.207184,0.949306,0.628759,0.240348,0.247196,0.111034,0.16077,0.690638,0.339698,0.409192,0.329058,0.74889,0.161996,3.86617,0.267732,,-0.0556056,6.28184,0.622317,110.529,-0.0556056,0,0.542132381349802,-0.5279761552810669,0.164491,257.8900146484375,,,,,,,59.5,5.409090909,59.5,5.409090909,,,,,,,,,,,,,,,,,,,"Jurickson Profar","10815",595777
"Leo De Vries","ATH",8.039,30.844,27.798,6.80412,3.86446,1.59628,0.16653,1.17685,3.85427,3.80082,2.46066,0.156886,6.96663,0.281329,0.240823,0.0631576,0.354364,0.572654,0.104077,0.24477,0.0797776,0.225867,0.353207,0.310132,0.441183,0.322174,0.751315,0.196413,5.36831,0.282843,,0.0293318,3.87282,0.228361,103.658,0.0293318,0,0.16231265664100647,0.3721759021282196,0.1633,999,,,,,,,34.3,4.2875,34.3,4.2875,,,,,,,,,,,,,,,,,,,"Leo De Vries","sa3023363",815888
"Santiago Espinal","LAD",33.084,118.217,108.051,27.0451,20.1205,4.74333,0.334061,1.84719,13.1655,11.059,7.40908,0.120339,15.4289,0.715459,0.895071,1.14684,2.41543,1.4677,0.536406,0.2503,0.0626736,0.130514,0.480208,0.300415,0.351669,0.286809,0.652084,0.10137,4.05064,0.274877,,-0.111797,11.4492,-2.51909,82.568,-0.111797,-0.31,-2.554228462278843,0.20055550336837769,0.161596,999,,,,,,,99.6,3.018181818,99.6,3.018181818,,,,,,,,,,,,,,,,,,,"Santiago Espinal","19997",669289
"Kyle Farmer","ATL",23.121,87.496,79.5453,18.8692,12.9134,3.47749,0.282994,2.19537,9.44038,9.29612,5.17934,0.0429019,19.3255,1.72207,0.617644,0.139015,1.69379,0.740185,0.333847,0.237214,0.0591952,0.220873,0.268005,0.295995,0.370843,0.292631,0.666838,0.133629,3.87813,0.284333,,-0.119207,8.88746,-1.45086,85.5762,-0.119207,-0.09,-1.614969089627266,0.2668055295944214,0.159899,999,,,,,,,76.8,3.339130434,76.8,3.339130434,,,,,,,,,,,,,,,,,,,"Kyle Farmer","14813",571657
